Ship Name,Year,Location,Cause,Lives Lost,Ship Value,Cargo Value,Vessel Type
Phelena Miner shipwreck (1914),1914,"Elizabethport, NJ",Collision w/ dredge,0,,,Canal boat
Philadelphia (1875) shipwreck (1875),1875,Seabright,Stranded,0,24000.0,,Schooner 3 masted
Philadelphia (1900) shipwreck (1900),1900,Overfalls Lightship,"Collision w/ ""Paul Rickmer""",0,25000.0,,Pilot boat steam
Philadelphia (1901) shipwreck (1901),1901,Overfalls Lightship,"Collision w/ ""Ausgar""",0,25000.0,,Pilot boat steam
Philadelphia (1904) shipwreck (1904),1904,Delaware Capes,"Collision w/ ""Switzerland""",0,25000.0,,Pilot boat steam
Philadelphia (1913) shipwreck (1913),1913,"Camden, NJ",Burned,0,,,Steamship
Philander Armstrong shipwreck (1868),1868,Hereford Inlet Shoals,Stranded,0,,,Schooner
Philip Gilkey shipwreck (1859),1859,Barnegat,Collision,2,,,Schooner
Philip Walters shipwreck (1825),1825,Cape May,Driven ashore; stranded,0,,,Schooner
Phillip J Kenny shipwreck (1923),1923,Ambrose Lightship,Burned,0,,,Light schooner
Phoebe Ann shipwreck (1891),1891,Little Egg LSS S .5 m,Grounded,0,1500.0,700.0,Schooner
Phoenix (1766) shipwreck (1766),1766,Pecks Beach,Stranded in gale,0,,,Schooner
Phoenix (1866) shipwreck (1866),1866,Cape May,Unknown,0,,,Steamship
Phoenix (1871) shipwreck (1871),1871,Sandy Hook,Boiler exploded,1,,,Tug steam
Phoenix (1926) shipwreck (1926),1926,Sandy Hook,Stranded,3,,,Schooner - Barge
Phoenix (1953) shipwreck (1953),1953,"Delaware River, Reedy Point","Collision w/ ""Pan Massachusetts""",4,,,Tanker
Phoenix (1981) shipwreck (1981),1981,Hudson Canyon,Missing; presumed lost,3,,,Lobster boat
Pig Iron Wreck shipwreck (unknown),Unknown,Atlantic City E 6 mi,Unknown,0,,,Barge
Pile Driver #6 shipwreck (1947),1947,Hereford Inlet E 5.4 mi,Unknown,0,,,Pile Driver
Pilgrim (1846) shipwreck (1846),1846,Egg Harbor,Grounded,0,,,Schooner
Pilgrim (1937) shipwreck (1937),1937,Bayonne,Burned,0,,,Steamship
Pilot (1844) shipwreck (1844),1844,Cold Spring Bar,Stranded,0,,,Sloop
Pilot (1857) shipwreck (1857),1857,Sandy Hook,Unknown,0,,,Sidewheel steam
Pilot (1917) shipwreck (1917),1917,New York Harbor,"Collision w/ ""Berkshire""",0,,,Pilot boat
Pinta shipwreck (1963),1963,Asbury Park E 5 mi,"Collision w/ ""City of Perth""",0,,,Freighter
Pioneer (1846) shipwreck (1846),1846,Squan Beach,Stranded in gale,0,,,Schooner steam
Pioneer (1848) shipwreck (1848),1848,"Cranberry Inlet, NJ",Stranded,0,800.0,400.0,Sloop
Pioneer (1885) shipwreck (1885),1885,Cape May Point,Unknown,0,,,Sloop
Pioneer Myth shipwreck (1966),1966,Atlantic City E 20 mi,"Collision w/ ""Visevica""",0,,,Freighter
Piscatagua (1870) shipwreck (1870),1870,Sandy Hook,Unknown,0,,,Schooner
Piscatague (1879) shipwreck (1879),1879,Barnegat,Unknown,0,,,Schooner
Pitt Packet shipwreck (1763),1763,Delaware Bay,Foundered,0,,,Unknown
Pittsburg (1903) shipwreck (1903),1903,Hereford Inlet LSS S .5 mi,Unknown,0,2500.0,,Sloop
Pittsburg (1907) shipwreck (1907),1907,Atlantic City LSS NE .25 mi,Unknown,0,2500.0,,Sloop
Pittsburg (1912) shipwreck (1912),1912,Ocean City LSS NE .75 mi,Unknown,0,2500.0,225.0,Motor vessel gas
Pittsburg (1923) shipwreck (1923),1923,Atlantic City,Stranded,0,2500.0,225.0,Motor vessel gas
Planter shipwreck (1765),1765,Atlantic City,Stranded; lost rudder,0,,,Ship
Pleiades shipwreck (1904),1904,Absecon,Collision,0,,,Schooner
Pliny shipwreck (1882),1882,Deal Beach,Stranded,0,200000.0,258000.0,Steamship
Plover shipwreck (1920),1920,"Elizabethport, NJ",Burned,0,,,Motor vessel gas
Plow City shipwreck (1942),1942,Cape May E 200 mi,Torpedoed by U-588,1,,,Freighter
Plymouth (1893) shipwreck (1893),1893,Barnegat,Foundered,3,,,Barge
Plymouth (1924) shipwreck (1924),1924,"Long Branch, NJ",Foundered; broke from tow,5,,,Barge
Pocohontas shipwreck (1839),1839,Delaware Bay Stone pile,Grounded,0,,,Schooner
Pocomo shipwreck (1935),1935,Barnegat Inlet,Grounded,0,,,Smack fishing
Pocono shipwreck (1930),1930,"Atlantic Highlands, NJ",Struck submerged object,0,30000.0,1350.0,Schooner
Pocopson shipwreck (1936),1936,Shark River Inlet NE 1.5 mi,Foundered,0,5000.0,8000.0,Schooner - Barge
Poet shipwreck (1980),1980,Cape Henlopen E,Disappeared,34,,,C-4 Troop Carrier
Pogo shipwreck (1974),1974,Barnegat Inlet,Capsized in heavy seas,0,,,Boston Whaler
Polarus Oil shipwreck (1951),1951,Barnegat Lightship S 10 mi,"Collision w/ ""Sandefjord""",0,,,Tanker steam
Polly (1765) shipwreck (1765),1765,Cohansey Creek S,Caught in ice,0,,,Schooner
Polly (1774) shipwreck (1774),1774,Bermuda,Grounded,0,,,Schooner
Polly (1779) shipwreck (1779),1779,Brigantine Beach,Stranded,0,,,Scow
Polly (1822) shipwreck (1822),1822,Cape May Joe Flogger Shoal,Stranded,0,,,Schooner
Polly Irelan shipwreck (1839),1839,Unknown,Capsized in squall,0,,,Unknown
Polly Whimple shipwreck (1860),1860,Atlantic City,Stranded,1,,,Unknown
Pomona (1789) shipwreck (1789),1789,Delaware Bay,Unknown,0,,,Ship
Pomona (1885) shipwreck (1885),1885,Barnegat SE 8 mi,"Collision w/ ""Jose E More""",0,,,Steamship
Pontiac shipwreck (1921),1921,"Jersey City, NJ","Collision w/ ""NY Central #18""",1,,,Motor vessel gas
Porgie shipwreck (1769),1769,Barnegat Beach,Stranded,0,,,Sloop
Port Philip shipwreck (1918),1918,Ambrose Channel Sandy Hook,"Collision w/ ""USS Proteus""",49,,,Steamship
Portland Packet shipwreck (1900),1900,Unknown,Foundered,3,,,Unknown
Poseidon shipwreck (1918),1918,Five Fathom Bank Lightship NNE 5 mi,"Collision w/ ""Sommerset""",6,,,Freighter
Posie shipwreck (1870),1870,Barnegat,Damaged in gale,0,,,Brig
Potomac shipwreck (1838),1838,Unknown,Abandoned,0,,,Brig
Potosi shipwreck (1889),1889,Cape May LSS N 6 mi,Unknown,0,900.0,,Schooner
Pottsville (1883) shipwreck (1883),1883,Chadwick LSS S 1 mi,Stranded,0,100000.0,,Steamship
Pottsville (1885) shipwreck (1885),1885,Little Egg Harbor NNW 12 mi,"Collision w/ ""Edith B Everman""",0,127000.0,6644.0,Steamship
Powhatan (1854) shipwreck (1854),1854,"Surf City, NJ",Stranded in blinding snowstorm,340,18000.0,,Packet ship
Powhatan (1961) shipwreck (1961),1961,Cape May E 35 mi,"Collision w/ ""South African Pioneer""",4,,,Motor vessel
Prescott shipwreck (1963),1963,Barnegat Inlet S 100 yards,Stranded,0,,,Minesweeper
President (1815) shipwreck (1815),1815,Sandy Hook,Captured,0,,,Frigate
President (1831) shipwreck (1831),1831,Sandy Hook,Grounded in storm,0,,,Packet ship
President (1843) shipwreck (1843),1843,Great Egg Harbor Inlet,Stranded,0,,,Schooner
Prince Frederick shipwreck (1892),1892,Sandy Hook,Stranded,0,45000.0,20560.0,Bark
Prince Maurice shipwreck (unknown),Unknown,"Maurice River, NJ Bend",Attacked & burned by indians,0,,,Unknown
Princess shipwreck (1928),1928,"Off Barnegat, NJ",Foundered,0,,,Schooner
Princess Alexandra shipwreck (1872),1872,Highlands E 40 mi,"Collision w/ ""Bowdoin""",0,,,Bark
Princess Louisa shipwreck (1857),1857,"Off Barnegat, NJ",Dismasted; Stranded,0,,,Brig
Princeton (1859) shipwreck (1859),1859,Squan Inlet S 7.5 mi,Stranded,0,,,Brig
Princeton (1923) shipwreck (1923),1923,"Camden, NJ",Burned,0,,,Steamship
Priscilla shipwreck (1923),1923,Harvey Cedars,Stranded; Sruck some object,0,1000.0,500.0,Motor vessel
Progress shipwreck (1912),1912,"Ship John Shoal, Delaware Riv",Foundered,0,,,Scow
Prospect shipwreck (1839),1839,Two Mile Beach,Grounded; Abandoned,0,,,Sloop
Prospera shipwreck (1865),1865,Sandy Hook,Foundered,0,,,Brig
Prosperity shipwreck (1744),1744,Cape May,Grounded,0,,,Schooner
Proteus shipwreck (1918),1918,"Diamond Shoals, NC NE 45 mi","Collision w/ ""Cushing""",1,1225000.0,3020.0,Passenger freighter
Prowess shipwreck (1862),1862,Townsends Inlet,Unknown,0,,,Schooner
Pure Oil Co. #5 (1911) shipwreck (1911),1911,"Newark Bay, NJ",Unknown,2,,,Steamship
Pure Oil Co. #5 (1930) shipwreck (1930),1930,"Kearny, NJ",Burned,3,,,Motor vessel diesel
Puritan (1865) shipwreck (1865),1865,Barnegat Inlet N 3 mi,Unknown,2,,,Schooner
Puritan (1874) shipwreck (1874),1874,Sandy Hook,Stranded,0,,,Ship
Puritan (1904) shipwreck (1904),1904,Cape May,Foundered,0,,,Schooner - Barge
Pusey shipwreck (1757),1757,Delaware River  Reedy Island,Unknown,0,,,Unknown
Quaker City shipwreck (1962),1962,"ICW Atlantic City, NJ",Stranded in storm,0,,,Large Landing Craft
Quango (1862) shipwreck (1862),1862,Squan Inlet S 6 mi,Grounded,0,,,Brig
Quango (1865) shipwreck (1865),1865,"Cape Ann, MA East",Leaking badly,0,,,Brig
Quarterdeck Club shipwreck (1963),1963,Monterey Beach Lavallette,Stranded on shore,0,3000.0,,Barge
Quebec shipwreck (1886),1886,Barnegat SE 15 mi,"Collision w/ ""Alvega""",0,,,Bark
Queen (1850) shipwreck (1850),1850,Bay Head E 2 mi,Unknown,0,,,Steamship
Queen (1870) shipwreck (1870),1870,Sandy Hook,Unknown,0,,12000.0,Steamship
Queen (1886) shipwreck (1886),1886,Sandy Hook,"Collision w/ ""City of Alexandria""",0,,,Dredge
Queen City (1907) shipwreck (1907),1907,Absecon Inlet outer bar,Stranded,0,12000.0,300.0,Steamship
Queen City (1910) shipwreck (1910),1910,Hereford Inlet LSS ENE 1.5 mi,Unknown,0,12000.0,,Charter fishing boat
Queen Louise shipwreck (1914),1914,Squan Inlet LSS N .25 mi,Stranded,0,300000.0,183000.0,Steamship
Queen of the East shipwreck (1860),1860,Squan Inlet S 8.5 mi,Foundered,0,,,Ship
Quest shipwreck (1969),1969,"Wildwood, NJ",Foundered,0,,,Clam boat
Quevilly shipwreck (1917),1917,Ambrose Lightship E,"Collision w/ ""Sampson""",0,,,Bark
R & S Corson (1875) shipwreck (1875),1875,Brigantine Inlet,Stranded,0,16000.0,,Schooner
R & S Corson (1899) shipwreck (1899),1899,Spring Lake LSS N 2 mi,Stranded,0,600.0,400.0,Schooner
R & T Hargraves shipwreck (1903),1903,Atlantic City,"Collision w/ ""Eagle Wing""",0,,,Schooner
R A Fisher shipwreck (1898),1898,Long Beach Island,Foundered,4,,,Schooner
R A McGowan shipwreck (1884),1884,Hereford Inlet; Gull bar,Grounded,0,700.0,200.0,Sloop
R B Leeds shipwreck (1907),1907,Atlantic City N .5 mi,Stranded,0,1200.0,750.0,Schooner
R C A Ward shipwreck (1877),1877,Barnegat,"Collision w/ ""H D Havens""",0,,,Schooner 3 masted
R C Fisher shipwreck (1848),1848,Barnegat,Struck by lightening,0,,,Brig
R C Waldron shipwreck (1869),1869,Squan Beach,Wrecked,0,,,Schooner
R Carlos Alberto shipwreck (1869),1869,Seaside Heights,Stranded,0,,,Schooner 3 masted
R D Bibber (011906) shipwreck (1906),1906,Seabright LSS N 1.25 mi,Stranded,0,16000.0,10000.0,Schooner 3 masted
R D Bibber (031906) shipwreck (1906),1906,Brigantine Shoal,Grounded,0,16000.0,12000.0,Schooner 3 masted
R Flowers shipwreck (1860),1860,Squan Inlet S 3.5 mi,Wrecked,0,,,Schooner
R Fowler shipwreck (1867),1867,Barnegat Inlet North Shoal,Wrecked,0,,,Schooner
R G Magill shipwreck (1893),1893,Squan Beach LSS S 1 mi,Stranded,0,2500.0,600.0,Schooner
R G Porter shipwreck (1866),1866,Barnegat Inlet N 16 mi,Foundered,0,,,Schooner
R G Willard shipwreck (1869),1869,Squan Beach,Stranded,0,25000.0,,Schooner
R H McCrystal shipwreck (1893),1893,Absecon Inlet North bar,Swamped; Capsized,0,250.0,,Yacht (Catboat )
R M McCristol shipwreck (1877),1877,Atlantic City,Capsized,0,,,Yacht
R M Price shipwreck (1860),1860,Squan Inlet S 11.5 mi,Stranded,0,,,Schooner
R P Resor shipwreck (1942),1942,Barnegat Inlet E 32 mi,Torpedoed by U-578,48,,,Tanker
R R Walker shipwreck (1844),1844,Squan Beach,Grounded,0,,,Schooner
R S Dean shipwreck (1868),1868,Sickles Creek,Grounded,0,,,Schooner
R S Graham (1879) shipwreck (1879),1879,Sandy Hook SE 25 mi,"Collision w/ ""Martha Welsh""",0,12000.0,3400.0,Schooner
R S Graham (1883) shipwreck (1883),1883,Cape May LSS S 1.5 mi,Stranded,0,15000.0,,Schooner
R W Dillon shipwreck (1869),1869,Townsends Inlet,Stranded,0,,,Schooner
Race Rock shipwreck (1856),1856,Hereford Inlet bar,Grounded,0,,,Schooner
Rachel C Rusell shipwreck (1865),1865,Unknown,Unknown,0,,,Unknown
Rachel S Miller shipwreck (1882),1882,"Ocean City, NJ",Stranded,0,3500.0,600.0,Schooner
Rachel Seaman shipwreck (1884),1884,Cape May,"Collision w/ ""Harry Landell""",0,,,Schooner
Raena shipwreck (1908),1908,Barnegat LSS E 1.5 mi,Capsized ,0,400.0,,Launch gas
Rainbow (1845) shipwreck (1845),1845,Atlantic City,Foundered,0,,,Unknown
Rainbow (1852) shipwreck (1852),1852,Absecon Beach,Grounded; Capsized,0,,,Schooner
Rainbow (1852) shipwreck (1852),1852,Unknown,Stranded,0,,,Schooner
Rainbow (1853) shipwreck (1853),1853,Delaware Breakwater North side,Sank,0,,,Schooner
Raleigh shipwreck (1927),1927,"Newark, NJ",Foundered,0,,,Steamship
Rambler shipwreck (1838),1838,Delaware Bay,Capsized and sank,1,,,Schooner
Ramos shipwreck (1933),1933,"Spermaceti Cove, NJ",Foundered in collision,0,,,Schooner - Barge
Ranald shipwreck (1901),1901,Atlantic City E 1.5 mi,Cargo Shifted; Foundered,0,,,Steamer cargo
Randolph shipwreck (1841),1841,Squan Light,Stranded,0,,,Sloop
Ranger (1883) shipwreck (1883),1883,Cape May Point,Abandoned,0,,,Sloop
Ranger (2003) shipwreck (2003),2003,Atlantic City E 80 mi,Sank,0,4000000.0,,Fishing trawler
Rapid shipwreck (1836),1836,Sandy Hook,Stranded,0,,,Brig
Rapidan (1870) shipwreck (1870),1870,Absecon Beach,Dismasted; Stranded,0,,,Schooner
Rapidan (1887) shipwreck (1887),1887,Monmouth Beach LSS S 1 mi,Stranded,0,5000.0,,Schooner
Raritan shipwreck (1842),1842,Shrewsbury Inlet S,Stranded,0,,,Schooner/Sloop
Rattler shipwreck (1978),1978,Barnegat Light,Stranded,0,,,Yacht motor
Rattlesnake shipwreck (1780),1780,Deal Beach,Stranded & burned,3,,,Brig
Ray Fish #2 shipwreck (unknown),Unknown,Hereford Inlet,Foundered,0,,,Motor vessel
Raymond shipwreck (1843),1843,Great Egg Harbor,Unknown,7,,,Unknown
Raymond T McNally shipwreck (1929),1929,"Highlands, NJ",Foundered,0,10000.0,8000.0,Barge
Re D'Italia shipwreck (1863),1863,"Long Branch, NJ",Stranded,0,,,Frigate
Real Action shipwreck (1988),1988,Atlantic City E 6 mi,Struck tow line behind tug,2,,,Sport fishing boat
Reaper (1840) shipwreck (1840),1840,Barnegat,Abandoned,0,,,Schooner
Reaper (1848) shipwreck (1848),1848,Cape May Joe Flogger Shoal,Stranded; Bilged,0,,,Schooner
Rebecca & Francis (1775) shipwreck (1775),1775,Brigantine Beach,Stranded,0,,,Transport
Rebecca (1824) shipwreck (1824),1824,Sandy Hook Point,Unknown,0,,,Merchantman
Rebecca (1830) shipwreck (1830),1830,Cape May,Stranded in gale,0,,,Unknown
Rebecca (1885) shipwreck (1885),1885,Cape May LSS NW 1.5 mi,Stranded,0,4500.0,,Schooner
Rebecca C Fisher shipwreck (1848),1848,Barnegat,Burned due to lightning strike,0,,,Brig
Rebecca Caruana (1871) shipwreck (1871),1871,Highlands E 4 mi,"Collision w/ ""Gen Barnes""",0,35000.0,,Bark
Rebecca Caruana (1876) shipwreck (1876),1876,Bonds LSS N .5 mi,Stranded,0,35000.0,8500.0,Bark
Rebecca Clyde shipwreck (1870),1870,Absecon,Damaged in hurricane,0,,,Steamship
Rebecca Crowell shipwreck (1888),1888,Barnegat,"Collision w/ ""Gate City""",0,,,Bark
Rebecca F Lamdin shipwreck (1892),1892,Monmouth Beach LSS NE 1.5 mi,In distress,0,15000.0,3000.0,Schooner
Rebecca M Smith (1883) shipwreck (1883),1883,Hereford Inlet North bar,Stranded,0,12000.0,,Schooner
Rebecca M Smith (1884) shipwreck (1884),1884,Sandy Hook S 25 mi,Damaged in storm,0,,,Schooner
Rebecca M Smith (1903) shipwreck (1903),1903,Cape May SE 5 mi,"Collision w/ ""E C Knight Jr""",0,5000.0,700.0,Schooner
Rebecca M Smith (1904) shipwreck (1904),1904,Little Egg Harbor shoal,Stranded,0,2500.0,1000.0,Schooner
Rebecca M Walls shipwreck (1909),1909,Sandy Hook LSS NNE 2 mi,"Stranded on sunken ""Finance""",0,6000.0,4000.0,Schooner 3 masted
Rebecca Shepherd shipwreck (1879),1879,Barnegat,Foundered in gale,0,12000.0,,Schooner
Rebecca W Huddell (1875) shipwreck (1875),1875,Cape May,Stranded; Dismasted,0,,,Schooner
Rebecca W Huddell (1886) shipwreck (1886),1886,Barnegat E 45 mi,"Collision w/ ""Jas Boyce Jr""",0,7000.0,3000.0,Schooner
Reco shipwreck (1909),1909,Cold Spring LSS E .5 mi,Stranded,0,400.0,,Sloop
Recovery shipwreck (1805),1805,Sandy Hook,Foundered,0,,,Brig
Recruit shipwreck (1882),1882,Turtle Gut Inlet ENE 1 mi,Stranded,0,2000.0,200.0,Schooner
Recta shipwreck (1893),1893,Cold Spring LSS SW 4 mi,Stranded,0,100000.0,15000.0,Steamship
Red Baron shipwreck (1967),1967,Atlantic City E .25 mi,Burned,0,,,Yacht motor
Red Dragon shipwreck (1903),1903,Harvey Cedars LSS S 1 mi,Foundered,5,,,Sloop
Red Fox shipwreck (1932),1932,Pecks Beach,Sank,1,,,Barge
Red Jacket shipwreck (1868),1868,"Elizabethport, NJ",Burned,0,,,Sidewheel steam
Reel E Bugging shipwreck (2020),2020,Barnegat Light E 34 mi,Burned,0,,,Comm Fishing Vessel
Reform shipwreck (1845),1845,Sandy Hook E 1 mi,Stranded in gale,0,,,Schooner
Register shipwreck (1846),1846,"Long Branch, NJ",Stranded in gale,1,,,Schooner
Reindeer (1850) shipwreck (1850),1850,Cape May Joe Flogger Shoal,Stranded in gale,0,,,Brig
Reindeer (1862) shipwreck (1862),1862,Barnegat S 10 mi,Stranded; Bilged,0,,,Brig
Reindeer (1867) shipwreck (1867),1867,Surf City N,Stranded,0,,,Schooner
Reindeer (1879) shipwreck (1879),1879,Sandy Hook E 30 mi,Damaged in gale,0,,,Bark
Reindeer (1908) shipwreck (1908),1908,"Bordentown, NJ",Burned,0,,,Steamship
Relax shipwreck (1927),1927,"Highlands, NJ",Burned,0,,,Yacht motor
Reliable shipwreck (1948),1948,Barnegat Light E 8 mi,Burned,0,,,Motor vessel diesel
Reliance (1886) shipwreck (1886),1886,Island Beach LSS S 2 mi,Crushed by ice,0,700.0,100.0,Sloop
Reliance (1890) shipwreck (1890),1890,Sandy Hook LSS NE .25 mi,Stranded,0,1000.0,140.0,Sloop
Reliance (1933) shipwreck (1933),1933,"Boston, MA E",Unknown,0,,,Lighter
Reliance (1941) shipwreck (1941),1941,"Monmouth Beach, Long Branch",Stranded,0,,,Motor vessel
Reliance (1944) shipwreck (1944),1944,Fenwick Island,Unknown,0,,,Schooner
Reliance (1960) shipwreck (1960),1960,Barnegat E 16 mi,Unknown,0,,,Blimp
Relief shipwreck (1939),1939,"Kearny, NJ",Burned,0,,,Steamship
Relief Lightship #37 shipwreck (1893),1893,Five Fathom Bank,Foundered,4,,,Relief Lightship
Relief Lightship #505 shipwreck (1960),1960,Ambrose Channel,"Collision w/ ""Green Bay""",0,,,Relief Lightship
Remedios-Pascual shipwreck (1903),1903,"Ship Bottom, NJ",Stranded,0,12000.0,10000.0,3 Masted Brigantine
Repplier shipwreck (1850),1850,Atlantic City,Stranded,0,,,Brig
Republic (1885) shipwreck (1885),1885,Sandy Hook LSS E 1 mi,"Collision w/ ""Aurania""",0,,,Steamship
Republic (1886) shipwreck (1886),1886,Seabright LSS S 1.5 mi,Unknown,0,4000.0,275.0,Schooner
Republic (1909) shipwreck (1909),1909,Nantucket Island S 26 mi,"Collision w/ ""Florida""",3,,3000000.0,Passenger liner
Republic (1942) shipwreck (1942),1942,"Jupiter Lighthouse, FL NE 3.5 mi",Torpedoed by U-504,5,,,Tanker
Rescue shipwreck (1873),1873,Sandy Hook bar,Burned,0,,,Tug steam
Rettie shipwreck (1895),1895,Tuckerton Creek,Collision,0,,,Schooner
Rex shipwreck (1928),1928,Shrewsbury gas buoy,Foundered,0,,,Motor vessel gas
Reynolds shipwreck (1901),1901,Atlantic City E 1.5 mi,Cargo Shifted; Foundered,0,,,Steamer cargo
Rhine shipwreck (1840),1840,Ocean City,Stranded,0,,,Square Rigged Ship
Rhodella Blew (1878) shipwreck (1878),1878,Barnegat,Grounded in gale,0,500.0,600.0,Schooner
Rhodella Blew (1884) shipwreck (1884),1884,Cape May LSS E 3 mi,Stranded in dense fog,0,5000.0,,Schooner
Ricardo Barros shipwreck (1874),1874,Hereford Shoal,Stranded,0,7000.0,5000.0,Schooner
Richard shipwreck (1820),1820,Great Egg Harbor NE 3 mi,Stranded,0,,,Sailing ship
Richard T Green (1894) shipwreck (1894),1894,Ship Bottom LSS,Stranded,0,10000.0,1000.0,Brig
Richard T Green (1927) shipwreck (1927),1927,"Morgan, NJ",Burned,0,,,Schooner
Richard Thompson shipwreck (1865),1865,"Ludlams Beach, NJ",Stranded,0,,,Schooner
Richmond (1877) shipwreck (1877),1877,Brigantine Shoal,Stranded,0,200000.0,,Steamship
Richmond (1897) shipwreck (1897),1897,Spring Lake LSS S 1 mi,Stranded,0,1500.0,300.0,Schooner
Richmond (1932) shipwreck (1932),1932,Delaware River,"Collision w/ ""Gisla""",3,,,Motor vessel gas
Richmond Packet shipwreck (1837),1837,Little Egg Harbor Inlet,Unknown,0,,,Schooner
Rideout shipwreck (1860),1860,Squan Inlet S 5.5 mi,Unknown,0,,,Brig
Ridgewood shipwreck (1871),1871,Squan Beach,Collision w/ unknown schooner,0,,,Schooner
Right Arm shipwreck (1923),1923,Atlantic City,Stranded,0,,,Steamship
Ringgold shipwreck (1848),1848,Cape May N 7 mi,Stranded in gale; Bilged,0,,,Schooner
Ringleader shipwreck (1902),1902,Sandy Hook Romer Shoal,Stranded,0,,,Schooner - Barge
Rio Grande (1883) shipwreck (1883),1883,Wreck Pond Inlet,Stranded,0,1000.0,200.0,Sloop
Rio Grande (1887) shipwreck (1887),1887,Squan Beach LSS S 1 mi,Stranded,0,700.0,250.0,Sloop
Rio Grande (1890) shipwreck (1890),1890,Little Egg Harbor,Stranded,0,800.0,75.0,Sloop
Rio Tercero shipwreck (1942),1942,Great Egg Inlet E 90 mi,Torpedoed by U-202,0,,,Freighter
Rio Tinto shipwreck (1920),1920,"Camden, NJ S",Foundered,1,,,Barge
Rising States shipwreck (1824),1824,Deal Beach,Stranded,0,,,Schooner
Rita and Lorene shipwreck (1972),1972,Cape May East 30+ mi,Apparent collision,4,,,Commercial Fishing vessel
Rival (1873) shipwreck (1873),1873,Highlands,"Collision w/ ""Daring""",0,,,Bark
Rival (1904) shipwreck (1904),1904,Brigantine Shoal,Grounded in fog,0,15000.0,2000.0,Schooner
Rival III shipwreck (1932),1932,Barnegat Shoal,Stranded,0,10000.0,,M/V Auxilary
Rjukan shipwreck (1876),1876,Ocean Park,Stranded in fog,0,25000.0,,Sailing ship
Rob Roy (1875) shipwreck (1875),1875,Tuckers Beach,Stranded,0,2000.0,1000.0,Schooner
Rob Roy (1933) shipwreck (1933),1933,Barnegat,Foundered,0,,,Barge
Robert Barnes Fiertz shipwreck (1954),1954,Little Egg Harbor bar,Grounded in fog,0,,,Barge Self-propelled
Robert C Bonham shipwreck (1941),1941,Jersey City 6th Street,Burned,0,,,Motor vessel diesel
Robert C Harris shipwreck (1910),1910,Monmouth Beach LSS N .1 mi,Struck sunken object,0,2800.0,400.0,Schooner
Robert Campbell shipwreck (1909),1909,Cold Spring LSS W .5 mi,Stranded,0,3000.0,,Barge
Robert F Stockton shipwreck (1854),1854,Unknown,"Abandoned, dismasted, disabled",0,,,Schooner
Robert H Mitchell shipwreck (1894),1894,Seabright LSS E 2 mi,Foundered,0,5000.0,1030.0,Schooner
Robert H Stanton shipwreck (1839),1839,Cape May,Abandoned in gale,0,,,Schooner
Robert Hadden shipwreck (1901),1901,Long Branch LSS N 2 mi,Struck pier,0,14000.0,,Tug
Robert Hedger shipwreck (1950),1950,South Amboy Coal Docks,Exploded,0,,,Barge
Robert J Mercer shipwreck (1873),1873,"Long Branch, NJ","Abandoned, sinking",0,,,Schooner
Robert J Walker shipwreck (1860),1860,Absecon Beach E 12 mi,"Collision w/ ""Fanny""",20,,,Sidewheel steam
Robert Morgan shipwreck (1884),1884,Absecon Beach,Stranded,0,40000.0,,Schooner 3 masted
Robert Morris shipwreck (1855),1855,Schuykill River entrance,Collision with ice,0,,,Schooner
Robert Ruff shipwreck (1885),1885,Absecon E 35 mi,Damaged; Leaking,0,,,Schooner
Robert Walne shipwreck (1816),1816,Sandy Hook,Stranded,0,,,Merchantman
Roberts shipwreck (1844),1844,Atlantic City,Foundered,0,,,Bark
Roberts shipwreck (1884),1884,Atlantic City,Foundered,0,,,Bark
Rockaway shipwreck (1877),1877,Atlantic City,Broke tow; Stranded,0,,,Steamer Excursion
Rockland shipwreck (1880),1880,"Long Branch, NJ",Foundered in gale,0,,,Schooner
Roda shipwreck (1908),1908,Jones Beach LSS SE .75 mi,Stranded,0,80000.0,22680.0,Freighter
Rodman R Nickerson shipwreck (1894),1894,Seven Mile Beach,Stranded,1,30000.0,3000.0,Schooner 3 masted
Rodney shipwreck (1836),1836,Toms River E 50 mi,Foundered,0,,,Schooner
Rodney Parker shipwreck (1874),1874,Sandy Hook Romer Shoal,Stranded; Bilged,0,,,Schooner
Roebuck shipwreck (1811),Unknown,"Sheerness, England",Dismantled 1811,0,,,Frigate
Roger Drury shipwreck (1893),1893,Sandy Hook Point,Stranded,0,5000.0,8800.0,Schooner
Roman shipwreck (1880),1880,Great Egg Harbor,"Collision w/ ""Theresa Wolf""",0,,,Steamship
Root shipwreck (1848),1848,Brigantine Shoal,Stranded in gale,0,,,Schooner
Roraima shipwreck (1881),1881,Shark River Inlet,Stranded,0,,,Steamship
Rosa shipwreck (1902),1902,Brigantine LSS E 5 mi,In distress; Leaking,0,1000.0,800.0,Paddlewheel Steam ferry
Roscoe S Miller shipwreck (1946),1946,Sandy Hook,Foundered,0,,,Motor vessel gas
Rose (1916) shipwreck (1916),1916,"Maurice River, NJ",Foundered,0,,,Barge
Rose (1933) shipwreck (1933),1933,Ludlams Beach Gas Buoy,Foundered,1,,,Schooner - Barge
Rose in Bloom shipwreck (1806),1806,Barnegat,Foundered in hurricane,0,,,Merchantman
Rosemary shipwreck (1925),1925,Sandy Hook Romer Shoal,Burned,0,,,Yacht gas
