Ship Name,Year,Location,Cause,Lives Lost,Ship Value,Cargo Value,Vessel Type
Alisha Marie shipwreck (2009),2009,Barnegat Light E 26 mi,Capsized,2,,,Scallop boat
Alknamook shipwreck (1876),1876,"Long Branch, NJ",Stranded,0,4000.0,,Schooner
Allair shipwreck (1740),1740,Sandy Hook,Foundered,0,,,Sailing ship
Allen Osborn shipwreck (1860),1860,Barnegat Inlet N 1-2 mi,Stranded,0,,,Schooner
Allentown (1879) shipwreck (1879),1879,"Hereford Inlet, NJ",Dismasted,0,200000.0,4809.0,Steamship Aux. Sail
Allentown (1886) shipwreck (1886),1886,Barnegat E,Lost main mast,0,127000.0,,Steamship Aux. Sail
Allentown (1917) shipwreck (1917),1917,Highlands,"Collision w/ ""Coamo""",0,,,Barge
Allie B Cathrall shipwreck (1893),1893,Absecon Inlet,Grounded,0,5000.0,750.0,Schooner
Allie Bickmore shipwreck (1874),1874,Long Beach Island,Stranded,0,,,Schooner
Allies shipwreck (1863),1863,Corsons Inlet,Foundered,0,,,Brig
Alma (1908) shipwreck (1908),1908,Cold Spring LSS E 2.5 mi,Foundered,0,7500.0,500.0,Tug steam
Alma (1924) shipwreck (1924),1924,Five Fathom Bank Lightship,Foundered after engine failure,0,2000.0,,Motor vessel gas
Almar shipwreck (1937),1937,Stone Harbor SE,Burned,0,,,Yacht motor
Almirante shipwreck (1918),1918,Atlantic City ESE 9 mi,"Collision w/ ""USS Hiasko""",5,,,Passenger cargo ship
Aloha shipwreck (1907),1907,Barnegat,Unknown,0,,,Unknown
Alpha shipwreck (1911),1911,Atlantic City N 1 mi,Stranded,0,25000.0,6000.0,Freighter
Altair shipwreck (1943),1943,Delaware Bay entrance,"Collision w/ ""Bostonian""",10,,,Tanker
Altavela shipwreck (1884),1884,Barnegat LSS ENE 1 mi,Stranded,0,3000.0,2000.0,Schooner
Altavelia shipwreck (1886),1886,Delaware Capes N 10 mi,Capsized in gale,0,,,Schooner
Alva B shipwreck (1906),1906,Hereford Inlet bar,Capsized in storm,1,400.0,,Launch gas
Alva Cape shipwreck (1966),1966,"Kill van Kull, NY","Collision w/ ""Texaco Massachusetts""",33,,,Tanker
Alvega shipwreck (1886),1886,Barnegat SE 15 mi,"Collision w/ ""Quebec""",0,,,Bark
Alvena shipwreck (1897),1897,Sandy Hook,"Collision w/ ""British Queen"" ",0,,,Steamship
Always Late shipwreck (2009),2009,Cape May E 55 mi,Flooded; Sank,0,,,Sport fishing boat
Amagagoc shipwreck (1972),1972,Brigantine,Stranded,0,,,Morgan 41'
Amazing Grace shipwreck (1984),1984,"Ocean City, MD E 100 mi",Lost at sea,9,500000.0,,Fishing trawler
Amazon shipwreck (1851),1851,Barnegat NE 8 mi,"Collision w/ ""Kenebec""",0,,,Schooner
Amberjack III shipwreck (1969),1969,Sandy Hook,"Collision w/ ""Tullahoma""",1,,,Fishing boat
Ambrose Lightship shipwreck (1950),1950,Sandy Hook,"Rammed in fog by ""Santa Monica""",0,,,Lightship
Ambrose Relief #505 shipwreck (1960),1960,Ambrose Channel,"Collision w/ ""Green Bay""",0,,,Relief Lightship
Ambrose Snow No 12 shipwreck (1912),1912,New York Harbor Lower Bay,"Collision w/ ""Delaware""",0,,,Pilot boat
Amelia (1811) shipwreck (1811),1811,Sandy Hook,Wrecked,0,,,Ship
Amelia (1860) shipwreck (1860),1860,Great Egg Harbor bar,Stranded & bilged,0,60000.0,,Ship
Amelia (1864) shipwreck (1854),1854,Long Beach Island,Grounded,0,,,Bark
Amelia (1870) shipwreck (1870),1870,Sandy Hook,Collision,0,,,Schooner
Amelia (1924) shipwreck (1924),1924,Brigantine Shoal,Stranded,0,60000.0,,Steamship
Amelia Brewer shipwreck (1864),1864,Townsends Inlet,Grounded,0,,,Bark
Amelia Furman shipwreck (1902),1902,"Long Branch, NJ","Pucntured, Bilged at anchor",0,,,Schooner
Amelia Hodgkins shipwreck (1877),1877,Egg Harbor,Lost sails and masthead,0,,,Schooner
Amelia P Schmidt (1886) shipwreck (1886),1886,"Long Branch, NJ",Damaged in squall,0,,,Schooner
Amelia P Schmidt (1887) shipwreck (1887),1887,Cape May LSS S 2 mi,Stranded,0,30000.0,3200.0,Schooner
Amelia P Starkey shipwreck (1855),1855,Highlands E 8 mi,Dismasted,0,,,Schooner
Amelia Priest shipwreck (1864),1864,Highlands SE 40 mi,"Collision w/ ""Kenneth""",0,,,Bark
America (1855) shipwreck (1855),1855,Cape May,In distress,0,,,Tug steam
America (1866) shipwreck (1855),1855,Barnegat Shoal,Stranded,0,,,Steamship
America (1875) shipwreck (1875),1875,Little Egg Harbor bar,Grounded,0,1500.0,300.0,Sloop
America (1879) shipwreck (1879),1879,Little Egg Harbor,Stranded,0,,,Sloop
America (1910) shipwreck (1910),1910,"Rancocas Creek, NJ",Burned,0,,,Steamship
American (1851) shipwreck (1851),1851,Long Beach Island,Stranded; Bilged,0,,,Brig
American (1909) shipwreck (1909),1909,Brigantine LSS SE 4 mi,Stranded,0,500000.0,400000.0,Freighter steam
American (1913) shipwreck (1913),1913,Sea Isle City LSS E .75 mi,Stranded,0,100000.0,,Steamship
American (1918) shipwreck (1918),1918,"Hoboken, NJ",Sank at pier,0,,,Transport
American (1925) shipwreck (1925),1925,Absecon Light,Stranded,0,,,Tanker barge
American System shipwreck (1838),1838,Little Egg Harbor,Stranded in gale,0,,,Schooner
Amerika shipwreck (1841),1841,Sandy Hook,Sank,0,,,Bark
Amity shipwreck (1824),1824,Squan Beach,Stranded in fog,0,,,Packet ship
Amos Briggs shipwreck (1921),1921,Sandy Hook,Stranded,0,,,Schooner
Amy Keller shipwreck (1940),1940,"Hoboken, NJ",Sank,1,,,Tug
Anastasia shipwreck (1933),1933,Seaside Heights E 9 mi,Foundered,4,40000.0,,Barge
Anderson (1863) shipwreck (1863),1863,Absecon Beach,Grounded,0,,,Ship
Anderson (1871) shipwreck (1871),1871,Atlantic City Lighthouse,Stranded,0,,,Sloop
Andes (1894) shipwreck (1894),1894,Little Egg Harbor S 4 mi,Stranded,0,150000.0,150000.0,Steamship
Andrea Doria shipwreck (1956),1956,Nantucket Island SE 45 mi,"Collision w/ ""Stockholm""",47,,,Passenger liner
Andrew shipwreck (1820),1820,Barnegat Beach,Stranded,0,,,Merchantman
Andrew H Edwards shipwreck (1888),1888,Island Beach LSS S 1 mi,Stranded,0,4000.0,,Schooner
Andrew Jackson  shipwreck (unknown),Unknown,Sandy Hook Romer Shoal,Unknown,0,,,Barge
Andrew Jackson (1818) shipwreck (1818),1818,Barnegat,Stranded,0,,,Sailing Ship
Andrew Jackson (1821) shipwreck (1821),Unknown,Barnegat Light,Stranded,0,,,Ship
Andrew Nebinger shipwreck (1888),1888,Highlands Light,Collision,0,7000.0,3000.0,Schooner
Andria Doria shipwreck (1777),1777,Delaware River,Burned,0,,,Brig
Angelina shipwreck (1853),1853,Highlands SE 12 mi,Capsized,0,,,Brig
Angelina Brewer shipwreck (1864),1864,Pecks Beach,Stranded,0,,,Bark
Angeline Corning shipwreck (1872),1872,"Guttenberg, NJ",Burned,0,,,Steamship
Angenoria shipwreck (1838),1838,Barnegat N 10 mi,Stranded,0,,,Schooner
Angie and Irene shipwreck (1962),1962,Cape May,Disabled in storm,0,,,Fishing boat
Angie Predmore (1880) shipwreck (1880),1880,Little Beach,Stranded,0,2500.0,2000.0,Schooner
Angie Predmore (1885) shipwreck (1885),1885,Absecon Inlet North shoal,Stranded,0,2500.0,2000.0,Schooner
Angielena shipwreck (1904),1904,Sandy Hook Point,Stranded,0,5000.0,,Schooner
Angora shipwreck (1847),1847,Squan Inlet S 10.5 mi,Grounded; Bilged,0,12000.0,1500.0,Brig
Anita shipwreck (1885),1885,Cold Spring Inlet South bar,Stranded,0,10000.0,42000.0,Brig
Anita shipwreck (1973),1973,Cape May SE,Sank in huricane,32,,,Cargo Bulk Carrirer
Anita Owen shipwreck (1856),1856,Delaware Bay,Lost spars; Jib boom,0,,,Brig
Ann (1847) shipwreck (1847),1847,Absecon bar,Stranded,0,2000.0,,Schooner
Ann Carlet shipwreck (1870),1870,Squan Beach,Grounded,0,,,Schooner
Ann Cooley (1888) shipwreck (1888),1888,Little Egg Harbor,Grounded,0,1800.0,225.0,Schooner
Ann Cooley (1889) shipwreck (1889),1889,Barnegat Inlet,Grounded,0,1500.0,200.0,Schooner
Ann Eliza B shipwreck (1856),1856,"Highlands, NJ",Wrecked,0,,,Schooner
Ann Elizabeth (1846) shipwreck (1846),1846,Little Egg Harbor,Grounded,0,,,Schooner
Ann Elizabeth (1852) shipwreck (1852),1852,Hereford Inlet bar,Stranded & bilged,0,,,Schooner
Ann H Hickman shipwreck (1876),1876,Sandy Hook,Struck sunken ship,0,20000.0,22000.0,Schooner
Ann Hooper shipwreck (1942),1942,Brigantine Shoal,Foundered,0,,,Schooner - Barge
