Vessel Name,Date of Wreck,Event,Location of wreck,Tonnage,Length (FT),Breadth (FT),depth (ft),Masts,Decks,Hull,Description,Story,Vessel Type,Type of event,Nature of Event,Cause of Event,Cargo,Lives Lost,Voyage from,Voyage To,Remarks,Built At,Date Built,Official Number,Registered at,Date Registered,Propulsion,Rig,Details
Ecliptic - 1879,1879-11-10,Stranded,Cranberry Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel - 1904,1904-11-01,Stranded,Cranberry Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy - 1912,1912-06-12,Stranded,Cranberry Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Capital - 1950,1950-12-29,Sank,Cranberry Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard - 1906,1906-01-03,Stranded,"Crain Ledge, Blanche",,,,,,,,,,,,,,,,,,,,,,,,,,
Otokeo - 1912,1912-11-29,Stranded,Craigmore,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclone - 1881,1881-12-03,Stranded,"Cow Ledge, Mouth of Westport, Brier Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Washington - 1856,1856-12-03,Wrecked,"Cow Ledge, Brier Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Westport Iii - 1907,1907-01-21,Stranded,"Cow Ledge, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclone - 1872,1872-12-12,Stranded,Cow Ledge,,,,,,,,,,,,,,,,,,,,,,,,,,
Murdock Finlayson - 1908,1908-11-01,Stranded,"Cow Bay, 1.5 miles E of Devils Island, Halifax Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
China - 1876,1876-04-11,Stranded,"Coveys Island, Harbour of LaHave",,,,,,,,,,,,,,,,,,,,,,,,,,
J. R. Amiro - 1872,1872-04-10,Stranded,"Cove Ledge, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Renwick - 1911,1911-12-27,Collision,Country Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Pubnico Libra - 1979,1979-12-10,Wrecked,Country Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Van - 1874,1874-09-13,Stranded,Country Harbour Ledges,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace Greenwood - 1887,1887-08-06,Stranded,Country Harbour Ledges,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgiana - 1915,1915-12-27,Stranded,Country Harbour Ledges,,,,,,,,,,,,,,,,,,,,,,,,,,
J. R. Howard - 1870,1870-08-25,Stranded,Country Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
P. C. Copeland - 1873,1873-12-02,Stranded,Country Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Oi Kaze - 1884,1884-08-23,Stranded,Country Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert & Brian - 1959,1959-01-06,Wrecked,Country Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundation Masson - 1975,1975-02-08,Foundered,Country Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice May - 1882,1882-01-14,Stranded,"Comeau Point, Tusket River",,,,,,,,,,,,,,,,,,,,,,,,,,
Faounce - 1948,1948-03-09,Stranded,Colwells Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Bessie M. Devine - 1904,1904-11-30,Stranded,"Collis Cove, E of Whithead",,,,,,,,,,,,,,,,,,,,,,,,,,
E. Merriam - 1892,1892-08-27,Stranded,Collins Island Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
Lida & Lizzie - 1878,1878-10-30,Stranded,"Coles Reef, near Pictou",,,,,,,,,,,,,,,,,,,,,,,,,,
Onward - 1918,1918-06-05,Stranded,Cogmogun River,,,,,,,,,,,,,,,,,,,,,,,,,,
Nina - 1914,1914-01-29,Foundered,"Coffin Island, 3 miles E x N from",,,,,,,,,,,,,,,,,,,,,,,,,,
Union - 1875,1875-07-25,Stranded,"Coffin Island, 1/4 mile SW of Liverpool Light",,,,,,,,,,,,,,,,,,,,,,,,,,
Experience - 1767,1767-11-19,Sank,"Coffin Island and mainland, east of Liverpool, between",,,,,,,,,,,,,,,,,,,,,,,,,,
Iona - 1899,1899-10-01,Stranded,"Cobequid Bay, Minas Basin, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Blew Wave - 1911,1911-08-22,Stranded,Cobequid Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Dora - 1912,1912-01-04,Stranded,Cobequid Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Howell Leeds - 1912,1912-11-28,Stranded,Cobequid Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Hattie Mckay - 1915,1915-11-15,Stranded,Cobequid Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Gertrude Parsons - 1928,1928-12-19,Stranded,Cobequid Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Smiling Water - 1885,1885-01-01,Foundered,"Coast, Between Jeddore & L`Ardoise",,,,,,,,,,,,,,,,,,,,,,,,,,
Michel-chantal - 1973,1973-04-26,Sank,"Coast of Nova Scotia, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Flying Spray - 1973,1973-05-21,Wrecked,"Coast of Nova Scotia, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Floriston - 1914,1914-10-12,Stranded,"Coast of Nova Scotia, Lat. 45N, Long. 53W (?)",,,,,,,,,,,,,,,,,,,,,,,,,,
Betsey - 1788,1788-01-01,Wrecked,Coast of Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,,,,
Meridian - 1842,1842-01-01,Wrecked,Coast of Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Brothers - 1870,1870-09-04,Stranded,Coast of Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,,,,
Zouave - 1885,1885-12-18,Stranded,Coast of Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,,,,
W. H. Smith - 1897,1897-01-12,Stranded,Coast of Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,,,,
Doris - 1897,1897-05-17,Stranded,Coast of Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayflower - 1898,1898-01-29,Stranded,Coast of Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold C. Beacher - 1914,1914-07-18,Stranded,Coast of Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,,,,
Surveyor - 1974,1974-02-19,Foundered,Coast of Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa - 1899,1899-05-28,Stranded,Coast of Guysborough Co.,,,,,,,,,,,,,,,,,,,,,,,,,,
Miner - 1914,1914-08-19,Foundered,Coast of Cape Breton,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnie Glen - 1906,1906-11-16,Stranded,"Coals Reef, Pictou, Lat. 45 40` N, Long. 62 40`W",,,,,,,,,,,,,,,,,,,,,,,,,,
Hustler - 1912,1912-07-29,Stranded,"Clarks Harbour, E side of",,,,,,,,,,,,,,,,,,,,,,,,,,
Basil M. Gilbert - 1904,1904-03-22,Stranded,"Clarks Harbour, Cape Sable Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Light Foot - 1885,1885-12-25,Stranded,Clarks Harbour Reef,,,,,,,,,,,,,,,,,,,,,,,,,,
Beatrice L. Corkum - 1913,1913-05-30,Stranded,Clarks Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippolyte - 1916,1916-12-16,Stranded,Clarks Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmette - 1916,1916-12-25,Stranded,Clarks Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia - 1909,1909-10-15,Stranded,Clarkes Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllis B. Ii - 1964,1964-12-18,Wrecked,"Clark`s Harbour, off",,,,,,,,,,,,,,,,,,,,,,,,,,
H. M. Croker - 1957,1957-09-10,Wrecked,"Clark`s Harbour, Lat. 43 N, Long. 66 W",,,,,,,,,,,,,,,,,,,,,,,,,,
4 Gold G's - 1976,1976-02-02,Wrecked,"Clark`s Harbour, Bay of Fundy",16,,,,,,,,,Fishing,Loss,Wrecked,Fire,,,,,Fire in Engine Room,,,346194,"Barrington Passage, Nova Scotia, Canada",,Unknown,Unknown,
Saratoga - 1953,1953-06-16,Stranded,"Clark`s Harbour, 10 miles off",,,,,,,,,,,,,,,,,,,,,,,,,,
Four Links - 1973,1973-04-19,Wrecked,Clark`s Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita - 1913,1913-11-01,Stranded,"Clark Head, Minas Basin",,,,,,,,,,,,,,,,,,,,,,,,,,
Glenarchy - 1894,1894-01-11,Stranded,"Clam Point, Cape Sable Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Louisa - 1871,1871-02-10,Stranded,Clam Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Leberty - 1924,1924-12-24,Stranded,Clam Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel - 1882,1882-09-15,Stranded,Clam Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice May - 1874,1874-11-29,Stranded,Church Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronella - 1876,1876-12-30,Stranded,Church Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Vera J. - 1950,1950-11-26,Stranded,Church Over,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrington - 1870,1870-11-05,Stranded,"Church Cove, near Louisbourg",,,,,,,,,,,,,,,,,,,,,,,,,,
L`esperance - 1875,1875-11-17,Stranded,Chimney Corner,,,,,,,,,,,,,,,,,,,,,,,,,,
E.L. Hammond - 1878,1878-08-20,Wrecked,Chimney Corner,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary George - 1877,1877-03-16,Stranded,Chignecto Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Freedom - 1844,1844-01-01,Wrecked,"Cheverie, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Gleaner - 1897,1897-11-13,Wrecked,Cheverie,,,,,,,,,,,,,,,,,,,,,,,,,,
Two Sisters - 1899,1899-01-01,Register closed in 1,Cheverie,,,,,,,,,,,,,,,,,,,,,,,,,,
Neried - 1938,1938-08-25,Stranded,Cheverie,,,,,,,,,,,,,,,,,,,,,,,,,,
Brilliant Star - 1874,1874-09-07,Stranded,"Cheticamp Island, north side of",,,,,,,,,,,,,,,,,,,,,,,,,,
Hilda - 1874,1874-12-31,Stranded,"Cheticamp Island, north side",,,,,,,,,,,,,,,,,,,,,,,,,,
Echo - 1872,1872-12-19,Stranded,Cheticamp Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Philip Wayne - 1958,1958-11-12,Grounded,"Cheticamp Harbour, southeast side",,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Bell - 1876,1876-10-16,Stranded,Cheticamp Beach,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphin - 1876,1876-10-16,Stranded,Cheticamp Beach,,,,,,,,,,,,,,,,,,,,,,,,,,
Geo. Peabody - 1876,1876-10-16,Stranded,Cheticamp Beach,,,,,,,,,,,,,,,,,,,,,,,,,,
Busy William - 1880,1880-09-24,Stranded,Cheticamp Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Lucy - 1872,1872-09-04,Stranded,Cheticamp,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel James - 1873,1873-08-24,Stranded,Cheticamp,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane - 1876,1876-12-16,Stranded,Cheticamp,,,,,,,,,,,,,,,,,,,,,,,,,,
Valiant - 1929,1929-09-21,Stranded,Cheticamp,,,,,,,,,,,,,,,,,,,,,,,,,,
Ella D. - 1920,1920-01-01,Burnt,"Chester Basin, Mahone Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
G. B. Zwicker - 1927,1927-08-24,Stranded,Cherry Hill,,,,,,,,,,,,,,,,,,,,,,,,,,
Sy 2 - 1963,1963-10-26,Stranded,Cherry Hill,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl - 1844,1844-01-01,Stranded,Chegoggin Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelma - 1861,1861-11-11,Wrecked,Chegoggin Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrill - 1862,1862-01-01,Wrecked,Chegoggin Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizzie Chute - 1868,1868-01-01,Stranded,Chegoggin Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Hattie Ellen - 1875,1875-02-18,Stranded,Chegoggin Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladys - 1887,1887-01-21,Stranded,Chegoggin Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie - 1880,1880-03-22,Stranded,Chegoggin Lobster Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
Afton - 1870,1870-01-01,Stranded,Chegoggin,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliza Jane - 1895,1895-09-01,Foundered,Chedabucto Bay (at anchor),,,,,,,,,,,,,,,,,,,,,,,,,,
Mary & Frances - 1777,1777-01-01,Wrecked,Chedabucto Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Jabez - 1871,1871-11-26,Stranded,Chedabucto Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
James R. Lithgow - 1875,1875-06-16,Stranded,Chedabucto Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord - 1885,1885-05-09,Stranded,Chedabucto Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia A. Carrigan - 1886,1886-06-17,Stranded,Chedabucto Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
John Tilton - 1890,1890-05-20,Burnt,Chedabucto Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
O. P. Silver - 1911,1911-08-29,Stranded,Chedabucto Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Yarmouth Packet - 1915,1915-05-06,Stranded,Chedabucto Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy & Harry - 1954,1954-01-08,Stranded,Chedabucto Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloucester No. 14 - 1956,1956-07-18,Wrecked,Chedabucto Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Milton - 1959,1959-08-18,Wrecked,Chedabucto Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrow - 1970,1970-02-04,Grounded,Chedabucto Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Cap St. Laurent - 1971,1971-01-27,Grounded,Chedabucto Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston - 1876,1876-12-12,Stranded,Chebucto Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliza B. Beard - 1879,1879-05-14,Stranded,Chebucto Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal - 1907,1907-09-02,Collision,Chebucto Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanonia - 1909,1909-11-01,Grounded,Chebucto Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Isleworth - 1912,1912-03-13,Stranded,Chebucto Head,,,,,,,,,,,,,,,,,,,,,,,,,,
A. W. Perry - 1915,1915-06-08,Stranded,Chebucto Head,,,,,,,,,,,,,,,,,,,,,,,,,,
La Have - 1914,1914-09-21,Burnt,Chebucto Bay (?),,,,,,,,,,,,,,,,,,,,,,,,,,
Dove - 1846,1846-08-01,Wrecked,Chebucto Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis Dane - 1859,1859-06-18,Wrecked,Chebogue Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertha - 1883,1883-01-01,Wrecked,Chebogue Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Betha - 1883,1883-11-16,Stranded,Chebogue Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorothy Earl - 1919,1919-10-15,Stranded,Chebogue Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Success - 1796,1796-01-01,Wrecked,Chebogue Ledges,,,,,,,,,,,,,,,,,,,,,,,,,,
Wide Awake - 1879,1879-03-19,Stranded,Chebogue Ledge,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore - 1735,1735-12-16,,Chebogue,,,,,,,,,,,,,,,,,,,,,,,,,,
J. A. Silver - 1912,1912-10-03,Wrecked,Chebogue,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel - 1874,1874-07-10,Stranded,Charlotte Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Volunteer - 1902,1902-01-01,Stranded,"Charlos Cove, Tor Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Larnax - 1881,1881-05-18,Stranded,"Charles Islands, near Tangier",,,,,,,,,,,,,,,,,,,,,,,,,,
Palander - 1883,1883-07-06,Stranded,"Charles Island, Shoal Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Amelia - 1909,1909-05-09,Stranded,"Chain Ledges, entrance to Lockeport Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
J. H. Dexter - 1881,1881-05-24,Grounded,"Cerberus Rock, Strait of Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Gard - 1937,1937-07-12,Stranded,"Cerberus Rock, Gut of Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Duncan - 1869,1869-12-09,Stranded,"Cerberus Rock, Chedabucto Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Zibiah - 1870,1870-10-08,Stranded,"Cerberus Rock, Chedabucto Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas J. Carrol - 1936,1936-08-15,Stranded,"Cerberus Rock, Chedabucto Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Y. - 1960,1960-04-25,Wrecked,"Centreville, Bay of Fundy, at wharf",,,,,,,,,,,,,,,,,,,,,,,,,,
Centreville - 1910,1910-02-11,Stranded,"Centreville, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Theodore Roosevelt - 1913,1913-10-31,Stranded,Centreville,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Marilyn - 1973,1973-05-24,Wrecked,Centreville,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Lass - 1845,1845-10-31,Wrecked,Catherines River,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranger - 1820,1820-01-01,Wrecked,"Cat Rock, Yarmouth Sound",,,,,,,,,,,,,,,,,,,,,,,,,,
Daisy - 1887,1887-10-10,Stranded,"Cat Harbour, Bras d`Or Lake",,,,,,,,,,,,,,,,,,,,,,,,,,
Borghild - 1910,1910-06-01,Stranded,"Castor Ledges, near Bickerton",,,,,,,,,,,,,,,,,,,,,,,,,,
Almeda - 1892,1892-01-20,Grounded,"Carters Creek, mouth of River Hebert",,,,,,,,,,,,,,,,,,,,,,,,,,
Almeda - 1892,1892-10-02,Foundered,"Carters Creek, Maccan River",,,,,,,,,,,,,,,,,,,,,,,,,,
Eliza - 1879,1879-11-19,Stranded,Carters Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean Bride - 1890,1890-12-01,Stranded,Carrigan Pier,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie - 1883,1883-11-17,Stranded,"Caribou, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Trimmer - 1939,1939-05-24,Wrecked,Caribou River,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Hart - 1875,1875-10-24,Stranded,"Caribou Island Shoal, Pictou Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean - 1875,1875-09-01,Stranded,Caribou Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Nancy - 1879,1879-10-19,Stranded,Caribou Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Emelle - 1885,1885-04-11,Wrecked,Caribou Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Breton - 1887,1887-11-07,Foundered,Caribou Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Union - 1910,1910-07-20,Stranded,Caribou Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellen - 1875,1875-11-20,Stranded,"Caribou Harbour, entrance",,,,,,,,,,,,,,,,,,,,,,,,,,
Emma - 1870,1870-06-09,Stranded,Cariboo Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Harriet - 1868,1868-10-17,Stranded,Cariboo Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Shannon - 1868,1868-10-17,Stranded,Cariboo Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Nightengale - 1868,1868-11-21,Stranded,Cariboo Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Bounty - 1887,1887-12-20,Stranded,Cariboo Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed - 1878,1878-12-22,Stranded,"Cariboo Cove, Gut of Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Marian - 1901,1901-10-06,Stranded,"Carey Shoal, entrance to Great Bras d`Or",,,,,,,,,,,,,,,,,,,,,,,,,,
Harriet - 1878,1878-06-09,Stranded,Capelin Cove Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Linton - 1930,1930-12-02,Stranded,"Cape Yarmouth, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Roseway - 1932,1932-01-10,Wrecked,"Cape Yarmouth, about 6 miles from",,,,,,,,,,,,,,,,,,,,,,,,,,
Flying Fortress - 1948,1948-04-10,Wrecked,"Cape Tormentine, 9 miles SE",,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Jane - 1890,1890-10-06,Wrecked,Cape Tormentine,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth M. - 1963,1963-08-30,Sank,"Cape St. Marys, 5 miles W x S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Keltic - 1949,1949-12-20,Burnt,"Cape St. Marys, 15 miles SExS from",,,,,,,,,,,,,,,,,,,,,,,,,,
Charles - 1840,1840-10-01,Wrecked,Cape St. Marys,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie W. Williard - 1882,1882-12-01,Stranded,"Cape St. Mary, Bay of Fundy, off, possibly on Trinity Ledges",,,,,,,,,,,,,,,,,,,,,,,,,,
William Yeo - 1883,1883-05-20,Stranded,"Cape St. Mary, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Village Queen - 1936,1936-09-24,Stranded,"Cape St. Mary, 10 miles S of Meteghan",,,,,,,,,,,,,,,,,,,,,,,,,,
Sea King - 1872,1872-11-07,Stranded,"Cape St. Mary, 0.5 mile N of",,,,,,,,,,,,,,,,,,,,,,,,,,
Rainbow - 1876,1876-07-20,Stranded,Cape St. Mary Ledges,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelburne - 1835,1835-09-28,Stranded,Cape St. Mary,,,,,,,,,,,,,,,,,,,,,,,,,,
Spray - 1871,1871-10-15,Stranded,Cape St. Mary,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea King - 1872,1872-11-07,Stranded,Cape St. Mary,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily R. - 1909,1909-10-11,Stranded,Cape St. Mary,,,,,,,,,,,,,,,,,,,,,,,,,,
Autaga - 1951,1951-09-08,Grounded,"Cape St. Lawrence, 7 miles SW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Garnish Queen - 1952,1952-11-08,Wrecked,"Cape St. Lawrence, 12 miles N of",,,,,,,,,,,,,,,,,,,,,,,,,,
Hittero - 1883,1883-11-13,Stranded,Cape St. Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,
Rothesay - 1907,1907-10-08,Foundered,"Cape St. George, NS",,,,,,,,,,,,,,,,,,,,,,,,,,
Commissioner - 1873,1873-08-21,Foundered,"Cape St. George, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Helene - 1877,1877-09-18,Stranded,Cape St. Esprit,,,,,,,,,,,,,,,,,,,,,,,,,,
John Murphy - 1881,1881-05-27,Stranded,"Cape Spencer, SE of Partridge Island, Minas Basin",,,,,,,,,,,,,,,,,,,,,,,,,,
E. B. Ketchum - 1882,1882-01-08,Wrecked,"Cape Spencer, N shore of Minas Channel, 2 miles E of",,,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star - 1910,1910-11-28,Foundered,"Cape Spencer, Minas Channel",,,,,,,,,,,,,,,,,,,,,,,,,,
Laure S. - 1938,1938-04-13,Wrecked,"Cape Spencer, Bay of Fundy, 4 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Lena - 1902,1902-08-07,Stranded,"Cape Spencer, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
S. T. Co. No 4 - 1910,1910-05-31,Stranded,"Cape Spencer Light, 1 mile S of",,,,,,,,,,,,,,,,,,,,,,,,,,
S. T. Co. No. 2 - 1910,1910-05-31,Stranded,"Cape Spencer Light, 1 mile S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Pejepscot - 1910,1910-05-31,Stranded,"Cape Spencer Light, 1 mile off",,,,,,,,,,,,,,,,,,,,,,,,,,
Florence & Viola - 1958,1958-12-09,Foundered,"Cape Smoky, 6 miles SE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Susie Bernetta - 1944,1944-05-23,Wrecked,"Cape Smoky, 6 miles off",,,,,,,,,,,,,,,,,,,,,,,,,,
Rouille - 1954,1954-12-03,Foundered,"Cape Smoky, 6 mile SE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Lupin - 1897,1897-08-01,Foundered,"Cape Smoky, 30 miles off",,,,,,,,,,,,,,,,,,,,,,,,,,
Nelson Miles - 1956,1956-01-16,Wrecked,"Cape Smoky, 3 miles from",,,,,,,,,,,,,,,,,,,,,,,,,,
Kathleen W. - 1927,1927-11-30,Foundered,"Cape Smoky, 25 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Mac Hinevy - 1930,1930-07-06,Foundered,"Cape Smoky, 23 miles SExE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Joan Madelin - 1954,1954-09-01,Wrecked,"Cape Smoky, 10 miles SWS",,,,,,,,,,,,,,,,,,,,,,,,,,
Peggy And Velma - 1979,1979-12-01,Wrecked,"Cape Smoky, 1 mile off",,,,,,,,,,,,,,,,,,,,,,,,,,
Guelph - 1883,1883-11-01,Foundered,Cape Smoky,,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie W. - 1916,1916-09-01,Foundered,Cape Smoky,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Bradford Pierce - 1931,1931-07-17,Stranded,Cape Smoky,,,,,,,,,,,,,,,,,,,,,,,,,,
Donna Lynn - 1968,1968-06-14,Foundered,Cape Smoky,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanda R. Deborah - 1975,1975-06-27,Wrecked,Cape Smoky,,,,,,,,,,,,,,,,,,,,,,,,,,
Otis Miller - 1913,1913-10-28,Stranded,"Cape Sharp, Minas Channel",,,,,,,,,,,,,,,,,,,,,,,,,,
Advent - 1916,1916-03-16,Foundered,"Cape Sambro, 75 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
SS Hungarian - 1860,1860-02-20,Stranded,"Cape Sable, The Horse Race",,,,,,,,,,,,,,,,,,,,,,,,,,
Para - 1880,1880-02-26,Foundered,"Cape Sable, on ledge off",,,,,,,,,,,,,,,,,,,,,,,,,,
Clarence H. Venner - 1914,1914-07-17,Stranded,"Cape Sable, off light station",,,,,,,,,,,,,,,,,,,,,,,,,,
Hanna & Elizabeth - 1801,1801-01-01,Wrecked,"Cape Sable, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Annie W. Goddard - 1874,1874-02-16,Wrecked,"Cape Sable, off",,,,,,,,,,,,,,,,,,,,,,,,,,
