Vessel Name,Date of Wreck,Event,Location of wreck,Tonnage,Length (FT),Breadth (FT),depth (ft),Masts,Decks,Hull,Description,Story,Vessel Type,Type of event,Nature of Event,Cause of Event,Cargo,Lives Lost,Voyage from,Voyage To,Remarks,Built At,Date Built,Official Number,Registered at,Date Registered,Propulsion,Rig,Details
Ethel G. - 1908,1908-08-02,Stranded,White Haven,,,,,,,,,,,,,,,,,,,,,,,,,,
Newfield - 1900,1900-09-22,Stranded,"White Cove, north side of Digby Neck",,,,,,,,,,,,,,,,,,,,,,,,,,
John Edwards - 1847,1847-01-01,Wrecked,"White Cape, near Yarmouth",,,,,,,,,,,,,,,,,,,,,,,,,,
Herbert J. Olive - 1881,1881-08-27,Stranded,"Whipple Point, Brier Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Yankee - 1907,1907-08-08,Stranded,"Whales Back Ledge, Loberta Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Argo - 1907,1907-12-10,Stranded,"Whale Cove, entrance to White Head Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Yuba - 1904,1904-07-29,Stranded,"Whale Cove, Digby Neck, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Adriatic - 1859,1859-12-24,Stranded,"Whale Cove, Digby Neck",,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Ann Ii - 1978,1978-07-08,Wrecked,"Weymouth, gov`t wharf",,,,,,,,,,,,,,,,,,,,,,,,,,
Levose - 1906,1906-07-10,Stranded,"Weymouth, 2 miles W of",,,,,,,,,,,,,,,,,,,,,,,,,,
Leonard B. Snow - 1891,1891-04-16,Burnt,"Weymouth Bridge, near wharf",,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip J. - 1945,1945-09-22,Wrecked,Weymouth,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne C. - 1960,1960-09-05,Wrecked,"Westport, Brier Island, Bay of Fundy, at McLaughlin`s wharf",,,,,,,,,,,,,,,,,,,,,,,,,,
Dale Maxwell - 1947,1947-08-18,Wrecked,"Westport, Brier Island, Bay of Fundy, 12 miles W of",,,,,,,,,,,,,,,,,,,,,,,,,,
Jane Porter - 1884,1884-12-30,Stranded,"Westport, Brier Island, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah C. Pyke - 1885,1885-12-26,Stranded,"Westport, Brier Island, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Eleanor L. - 1967,1967-03-04,Wrecked,"Westport, Brier Island, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Donald Ii - 1968,1968-12-11,Wrecked,"Westport, Brier Island, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Boniform - 1892,1892-11-02,Stranded,"Westport, Brier Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Glen & Jean - 1959,1959-09-06,Wrecked,"Westport Harbour, Brier Island, Bay of Fundy, at moorings",,,,,,,,,,,,,,,,,,,,,,,,,,
Shelburne - 1841,1841-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Evelyn Mc D - 1960,1960-12-12,Wrecked,"Westport Harbour, Brier Island, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Una - 1917,1917-04-09,Foundered,"Western Shoal, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Swiftsure - 1878,1878-01-01,Stranded,"Western Shoal, Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Foam - 1971,1971-10-08,Wrecked,"Western Head, SSE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Escape - 1873,1873-10-27,Stranded,"Western Head, near Lockeport",,,,,,,,,,,,,,,,,,,,,,,,,,
Edith - 1907,1907-09-12,Foundered,"Western Head, Liverpool Harbour, 1 mile S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Susan And Annie - 1901,1901-07-04,Stranded,"Western Head, Cape Enrage",,,,,,,,,,,,,,,,,,,,,,,,,,
Alta - 1894,1894-05-28,Stranded,"West Reef, Gulf of St. Lawrence",,,,,,,,,,,,,,,,,,,,,,,,,,
Deeta M. - 1907,1907-05-18,Stranded,West Quoddy Ledge,,,,,,,,,,,,,,,,,,,,,,,,,,
L. P. Churchill - 1892,1892-10-21,Stranded,"West Point, Scatarie Island, near Light",,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Return - 1870,1870-09-04,Stranded,"West Point, Sambro Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Arrow - 1872,1872-10-14,Stranded,"West Point, Flint Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Temple - 1907,1907-12-02,Stranded,West Ironbound Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading Lady - 1973,1973-05-11,Capsized,West Ironbound Island,,,,,,,,,,,,,,,,,,,,,,,,,,
A. W. Longmire - 1934,1934-01-25,Stranded,"West Head, near Lockeport, off",,,,,,,,,,,,,,,,,,,,,,,,,,
R. B. Mulhall - 1876,1876-10-01,Foundered,"West Head, 1 mile E of",,,,,,,,,,,,,,,,,,,,,,,,,,
Kelso - 1889,1889-12-14,Burnt,West Head,,,,,,,,,,,,,,,,,,,,,,,,,,
William Henry - 1844,1844-12-24,Stranded,"West Cape, Yarmouth, on outer Bar",,,,,,,,,,,,,,,,,,,,,,,,,,
Florida - 1894,1894-04-20,Stranded,"West Cape, Cape Fourchu",,,,,,,,,,,,,,,,,,,,,,,,,,
