shipsName,shipsOwner,yearBuilt,vesselType,dateLost,year,month,day,latitude,longitude,locationLost,causeOfLoss,departurePort,destinationPort
Orestes,,,Brig,11/24/1854,1854.0,11,24,,,Egg Harbor,Stranded,"Turks Is., West Indies","New York, NY"
Oriental,,,Schooner,12/4/1844,1844.0,12,4,,,Brigantine Shoal,Wrecked,"Bridgeport, CT","Philadelphia, PA"
Orion (1850),,,Bark,1/1850,1850.0,1,,,,New Jersey coast,Wrecked,,
Orion (1864),,,Bark,2/1864,1864.0,2,,,,New Jersey coast,,"New York, NY","Philadelphia, PA"
Oriona,,,Brig,6/15/1865,1865.0,6,15,,,Squan Inlet S 5 mi,Stranded,,
Orlando V Wooten,,1901,Schooner 4 masted,4/8/1922,1922.0,4,8,,,Barnegat,Stranded,,
Orleans,Robert B Wathen,1916,Barge,8/18/1946,1946.0,8,18,40.31702,-73.97274,"Long Branch, NJ",Foundered,,Freight service
Ormond,,1919,Schooner - Barge,1/9/1926,1926.0,1,9,40.42333,-73.90000,"Highlands, NJ",Foundered,,
Orville Harden,Panama Transport Co,,Twin diesel tanker,2/4/1945,1945.0,2,4,,,Ambrose Channel S 2 mi,Collision,"Beaumont, TX","New York, NY"
Oscar,,,Schooner,5/5/1849,1849.0,5,5,,,Cape May Brandywine Shoal,Stranded,"Philadelphia, PA","Bangor, ME"
Oscar A Thompson,,1839,Sidewheel steam,11/25/1857,1857.0,11,25,,,"Gloucester Point, PA",Burned,,
Osceola (1858),,1838,,1/1/1858,1858.0,1,1,,,"Jersey City, NJ",Burned,,
Osceola (1926),Westmoreland Coal Co,1918,Schooner,4/19/1926,1926.0,4,19,,,Barnegat E 1 mi,Struck submerged object,"Hampton Roads, VA","Newburyport, MA"
Osprey (1853),,,Brig,3/29/1853,1853.0,3,29,39.07597,-74.72866,Seven Mile Beach,Stranded,"Arecibo, Puerto Rico","Philadelphia, PA"
Osprey (1904),,1853,Steamship,10/4/1904,1904.0,10,4,,,"Billingsport, NJ",Burned,,
Osprey (1950),Anthony Izzio,1936,Motor vessel,3/12/1950,1950.0,3,12,,,Five Fathom Bank Lightship NE 17 mi,"Collision w/ ""American Scout""",,Fishing service
Osprey (1953),,1943,Fishing trawler,7/31/1953,1953.0,7,31,,,Asbury Park E 3 mi,Burned,"Acrebo, Spain","Philadelphia, PA"
Oswego,,,Brig,8/27/1842,1842.0,8,27,,,Barnegat,Missing,"Schuylkill, NJ","Boston, MA"
Othere,,1868,Bark,5/26/1878,1878.0,5,26,,,Barnegat Inlet S,,"Havre, Belgium","Sandy Hook, NJ"
Otis,,,Brig,1/12/1839,1839.0,1,12,,,Fort Miffin Piers Philadelphia,"Struck ice, leaking",,
Ottawa,,,Bark,1/1856,1856.0,1,,,,Sandy Hook Romer Shoal,Grounded,"Havana, Cuba","New York, NY"
Ovetta,John G Harvey,1858,Schooner,11/7/1880,1880.0,11,7,,,Hereford Shoal,Stranded,"New Haven, CT","Rappahanock River,VA"
Ovidia,,,Steamship,11/19/1930,1930.0,11,19,,,Ambrose Lightship,Sank,,
Owen Bearse,Dennis Sturges,1863,Schooner,11/1/1867,1867.0,11,1,,,New Jersey coast,Stranded,,
Ozello,,,Brig,5/15/1814,1814.0,5,15,,,Barnegat,Stranded,,
P A Saunders,Steelman & Co,1855,Schooner,3/16/1876,1876.0,3,16,,,Highland Light S .5 mi,"Collision w/ ""Jeremiah""","Norfolk, VA","New York, NY"
P C Barnum,,,Sloop fishing ,7/30/1886,1886.0,7,30,,,Sandy Hook W,Capsized,,
P F No 5,,1918,,1/22/1943,1943.0,1,22,,,Bayonne Pier 4,Collision w/ Barge #2,,
P J Carlton,,1870,Schooner - Barge,3/5/1902,1902.0,3,5,,,Sandy Hook Romer Shoal,Stranded,,
P N Falkinburg,,,,10/1868,1868.0,10,,,,Barnegat,Stranded,"New York, NY","Toms River, NJ"
P R R No 100,,1923,Barge,7/28/1941,1941.0,7,28,,,"Elizabethport, NJ Pier 14",Foundered,,
P R R No 704,,1874,Barge,12/19/1905,1905.0,12,19,,,"Elizabethport, NJ Pier",Collision w/ pier,,
P T Barnum (1894),W W Blake,1890,Schooner,12/22/1894,1894.0,12,22,,,Hereford Inlet South bar,Stranded,"Bridgeport, CT","Philadelphia, PA"
P T Barnum (1904),W W Blake,1890,Schooner,11/6/1904,1904.0,11,6,,,Five Fathom Bank,"Collision w/ ""Aragon""","New York, NY","Newport News, VA"
Pacific (1855),,,Bark,11/2/1855,1855.0,11,2,,,Barnegat,Collision,"New York, NY","Cienfuegos, Cuba"
Pacific (1856A),,,Schooner,1/5/1856,1856.0,1,5,,,Little Egg Harbor,Grounded,"Wilmington, DE","New York, NY"
Pacific (1856B),,,Schooner,5/6/1856,1856.0,5,6,,,"Long Branch, NJ",Wrecked,,
Packet,,,Brig,4/20/1848,1848.0,4,20,,,Barnegat,Abandoned in gale,"Baltimore, MD","Boston, MA"
Palistine (1868),,,Schooner,8/1868,1868.0,8,,,,New Jersey coast,Stranded,,
Palistine (1896),,1865,Schooner,5/3/1896,1896.0,5,3,39.26740,-74.55258,Ocean City LSS SSE 1 mi,Grounded,"Hampton, VA","Atlantic City, NJ"
Palmer,,,Barge,1937,1937.0,,,39.35527,-74.19194,Absecon Inlet Bell Buoy E 8.6 mi,,,
Palmetto State,J S Babson,1860,Schooner,3/6/1866,1866.0,3,6,38.95444,-74.85000,Cape May 2 Mile Beach,,,
Palmyro,,,,7/1/1840,1840.0,7,1,,,Fort Washington Point,Struck in a Squall,"Rockland, NY","Newark, NJ"
Pamelia,,,Schooner,11/7/1842,1842.0,11,7,,,Deal Beach,Stranded,,
Pan Massachusetts,National Bulk Carriers,1943,Tanker,6/6/1953,1953.0,6,6,,,"Delaware River, Reedy Point","Collision w/ ""Phoenix""","Texas City, TX","Philadelphia, PA"
Pan Pennsylvania,National Bulk Handlers,1943,Tanker,4/16/1944,1944.0,4,16,40.38888,-69.60833,Ambrose Light E 200 mi,Torpedoed by U-550,"New York, NY","Barry, Wales, England"
Panaud,,,Schooner,9/5/1868,1868.0,9,5,40.38888,-69.60833,New Jersey coast,,,
Panchito,Robert Oho,1866,Brig,2/13/1888,1888.0,2,13,39.24444,-74.61388,Ocean City LSS S .75 mi,Stranded in storm,"Laguano, Mexico","New York, NY"
Pandora,,,Sloop,2/1/1880,1880.0,2,1,,,Between Cold Spring & Turtle Gut,Stranded,"Philadelphia, PA","New York, NY"
Panther,Reading Rail Co,1870,Steamship,3/9/1872,1872.0,3,9,39.87330,-74.06206,Squan Beach,Stranded,"Boston, MA","Philadelphia, PA"
Paragon,,,Sloop,6/1825,1825.0,6,,,,Cape May W,Stranded,,"New York, NY"
Paramount V,James Bogan,,Party fishing boat,12/17/1947,1947.0,12,17,,,Manasquan Inlet,Capsized in storm,"Brielle, NJ",Fishing trip
Park City,,1898,Steamship,8/8/1951,1951.0,8,8,40.10185,-74.02540,Manasquan Inlet,Hit floating timber,"New York, NY","Houston, TX"
Parkfield,W & Rwrights,1872,Sailing ship,2/4/1883,1883.0,2,4,39.45833,-74.27222,Little Egg Harbor S 2 mi,Stranded in fog,"Calcutta, India","New York, NY"
Pasquale,,1917,,6/4/1942,1942.0,6,4,,,"Dennis Creek, NJ",Foundered,,
Passaic,,1922,Barge,5/8/1930,1930.0,5,8,,,Bayonne,Burned,,
Passaic Bridge,,1919,Freighter,10/4/1919,1919.0,10,4,,,Barnegat,Stranded,,
Passyunk,,1913,Steamship,11/5/1957,1957.0,11,5,,,"Bridgeport, Del Riv S .25 mi",Burned,,
Pastime IV,,1918,Motor vessel gas,11/29/1923,1923.0,11,29,,,Little Egg Harbor bar,Burned,,
Patapsco,,,Brig,9/28/1847,1847.0,9,28,39.46232,-74.31583,Brigantine Beach,Stranded,,
Pathfinder,,1881,Sloop - Yacht,9/9/1895,1895.0,9,9,,,Sandy Hook,Stranded,,Cruising
Pathway,J D Robinson,1872,Schooner,11/7/1879,1879.0,11,7,,,Highlands SE 60 mi,Collision,"Carrotoman River, VA","Bath, ME"
Patrice McAllister,McAllister Brothers Inc,1919,Tug,10/1/1976,1976.0,10,1,,,Brigantine Inlet E 5 mi,Foundered while in tow,"Philadelphia, PA","New York, NY"
Patricia,George T Travis,1921,Yacht motor,8/2/1936,1936.0,8,2,,,Green River E 6 mi,Burned,,
Patricia Gale,William Voliva,,Fishing trawler,6/1/1976,1986.0,6,1,,,Beach Haven E 8.5 mi,Collision,,
Patricia Moran,,,Tug,1/12/1966,1966.0,1,12,,,"Kill van Kull, NY","Collision w/ ""Morania Marlin""",,
Patrick Henry,,,Schooner,3/16/1843,1843.0,3,16,,,Manasquan Beach,Stranded,"York River, VA","Providence, RI"
Patriot,,,Schooner,3/3/1858,1858.0,3,3,,,Cape May,Stranded,,"Philadelphia, PA"
Pattie Morrisette,Eastern Transportation Co,1917,Barge,1/24/1935,1935.0,1,24,38.62166,-74.71666,Five Fathom Bank Lightship,,,
Paul P Keller,McGee et al,1871,Schooner,11/26/1873,1873.0,11,26,,,Barnegat,Collision,"Philadelphia, PA","Boston, MA"
Pauline ,,,Sloop,9/14/1894,1894.0,9,14,,,Great Egg LSS WSW 1.75 mi,Stranded,"Petersburg, PA","Atlantic City, NJ"
Pauline M,Joseph Connelly Jr,1922,Yacht motor,7/1/1932,1932.0,7,1,,,Barnegat Lightship,Burned,,
Pauline Marie,,,Freighter,4/3/1985,1985.0,4,3,,,Atlantic City,Artificial reef sinking,,
Pawnee,,1896,,9/19/1918,1918.0,9,19,,,"East Millstone, NJ",Burned,,
Peace,,,,~1874,1874.0,,,,,"Hog Island, Delaware River",Wrecked,"London, England",Virginia
Peacedale,,1871,Schooner,11/23/1885,1885.0,11,23,,,"Ocean Grove, NJ",Disabled in gale,"Philadelphia, PA","Narragansett Pier, RI"
Pearce (1837),,,Schooner,5/18/1837,1837.0,5,18,,,Cape May,Stranded,,
Pearce (1944),Robert B Wathen,1913,Barge,9/30/1944,1944.0,9,30,,,Barnegat Light,Foundered,,
Pedroga,,,Brig,11/16/1854,1854.0,11,16,,,Absecon Inlet South bar,Stranded,,
Peer Gynt,Isobel Dobbin Naame,1917,Yacht motor,9/20/1937,1937.0,9,20,,,Cold Spring Harbor E .5 mi,Burned,,
Peerless (1878),,,Schooner,7/25/1878,1878.0,7,25,,,Crow Shoal near Cape May,Grounded,"Philadelphia, PA","Chatham, MA"
Peerless (1951),William H Huff,1927,Fishing trawler,5/29/1951,1951.0,5,29,39.91418,-73.58051,Ambrose Lightship SSE 40 mi,Foundered,,Fishing service
Peggy (1767),,,Sloop,7/1767,1767.0,7,,,,Marcus Hook,Grounded by ice,"New York, NY","Philadelphia, PA"
Peggy (1774),,,Brig,2/1/1774,1774.0,2,1,,,Cohansey Creek,Grounded by ice,Virginia,"Philadelphia, PA"
Peggy (1794),,,,~1794,1794.0,,,,,Delaware Bay,Lost,"Philadelphia, PA","Savannah, GA"
Pennington,Reading Rail Co,1917,Barge,1/11/1947,1947.0,1,11,39.88333,-73.91666,New Jersey coast,,,
Pennsylvania (1817),,,Schooner,5/1/1817,1817.0,5,1,,,Cape May,Sank in gale,"Charleston, SC",
Pennsylvania (1935),,1894,Steamship,2/5/1935,1935.0,2,5,,,"Coopers Creek, Camden, NJ",Stranded,,
Penquin,,1883,Motor vessel,8/4/1937,1937.0,8,4,,,"Vulcan Pier, Jersey City, NJ",Burned,,
Pentland Firth,Firth Steam Trawlers Co,1934,Trawler,9/22/1942,1942.0,9,22,40.42194,-73.86805,Spermaceti Cove E 5.5 mi,"Collision w/ ""Chaffinch""",,
Perasto,Cunich & others,1826,Brig Polacre,8/13/1839,1839.0,8,13,39.68083,-74.12965,Barnegat S 5 mi,Stranded in gale,"London, England","Philadelphia, PA"
Peregrine II,,1926,Motor vessel diesel,5/27/1956,1956.0,5,27,,,"Leesburg, NJ wharf",Burned,,
Perkasie,Reading Rail Co,1908,Schooner - Barge,7/8/1909,1909.0,7,8,,,"Off Barnegat, NJ",Foundered while in tow,"Philadelphia, PA","Boston, MA"
Perkiomen,Reading Rail Co,,Steamship,11/26/1875,1875.0,11,26,,,Barnegat,"Collision w/ ""Anna Shephard""","Philadelphia, PA","Boston, MA"
Pero D'Alemquer,,1869,Bark,12/2/1915,1915.0,12,2,,,"Mantaloking, NJ",Stranded,"Lisbon, Portugal","New York, NY"
Perry (1843),,,Brig,1/7/1843,1843.0,1,7,,,Pecks Beach,Grounded; Bilged,"Georgetown, SC","New York, NY"
Perry (1937),,1936,Motor vessel gas,5/2/1937,1937.0,5,2,,,"Atlantic City, NJ",Foundered,,
Persephone,Panama Transport Co,1925,Tanker,5/25/1942,1942.0,5,25,39.78827,-74.07254,Barnegat Light NE 2.5 mi,Torpedoed; war loss,Aruba,"New York, NY"
Perserverance (1815),,,Brig,12/25/1815,1815.0,12,25,39.25376,-74.59221,Pecks Beach,Stranded during storm,"LeHavre, France","New York, NY"
Perserverance (1835),,,Schooner,~1835,1835.0,,,,,Squan Beach,Stranded,"Philadelphia, PA","New York, NY"
Persistence,,,Trawler,2/12/1991,1991.0,2,12,,,Barnegat E 25 mi,Flooded ,Barnegat Light. NJ,Barnegat Light. NJ
Peru (1840),,,Schooner,12/18/1840,1840.0,12,18,,,Highlands Lights N 2 mi,Stranded & bilged,"New York, NY","Boston, MA"
Peru (1843),,,Schooner,11/20/1843,1843.0,11,20,,,"Off Barnegat, NJ","Collision w/ ""L Baldwin""","Philadelphia, PA","New York, NY"
Peruvia,,1894,Steamship,12/10/1906,1906.0,12,10,,,Bonds LSS N 3 mi,Grounded,"Danzig, Germany","Philadelphia, PA"
Peruvian,,,Sloop,3/19/1885,1885.0,3,19,,,Sandy Hook,Stranded,"New York, NY",Fishing trip
Pet,,1873,Sloop,10/17/1892,1892.0,10,17,,,Little Egg LSS S 1.5 mi,Grounded,"New York, NY",Florida
Peter C Schultz,,1874,Schooner,12/26/1892,1892.0,12,26,,,Monmouth Beach LSS E 1.5 mi,Collision,"City Point, VA","New York, NY"
Peter Inglas,,,Schooner,3/25/1846,1846.0,3,25,,,,Sank in gale,"Philadelphia, PA","Bridgeton, NJ"
Peter J Hart,,1879,Schooner 3 masted,6/25/1886,1886.0,6,25,,,Barnegat,Collision w/ unknown schooner,,
Peter Metzgar,,1866,Motor vessel,10/24/1929,1929.0,10,24,,,"Newark, NJ",Burned,,
Petersburg,,,Tanker,5/24/1944,1944.0,5,24,,,"Constable Hook, NJ",Explosion,,
Petrel,,1901,Sloop,7/8/1906,1906.0,7,8,,,Barnegat LSS NNE 1.5 mi,Grounded,"Toms River, NJ","Barnegat, NJ"
Phantom #11,,1868,Pilot boat,3/11/1888,1888.0,3,11,,,"Sandy Hook, NJ",Lost in blizzard,,Pilot service
Phantom #17,,,Pilot boat,~1856,1856.0,,,,,Shark River Inlet,Grounded; stranded,,
Phantom (1851),,,Brig,11/22/1861,1851.0,11,22,,,Five Fathom Bank,"Collision w/ ""Umpire""",Curacao,"New York, NY"
Phantom (1854),,1852,Medium clipper,2/14/1854,1854.0,2,14,,,Sandy Hook Flynn Knoll,Stranded,"Rio de Janiero, Brazil","New York, NY"
Phebe,M M Medesco,1869,Schooner,3/12/1888,1888.0,3,12,,,Barnegat,Damaged in blizzard,"Aguadilla, PR","New York, NY"
Phelena Miner,,1888,Canal boat,5/23/1914,1914.0,5,23,,,"Elizabethport, NJ",Collision w/ dredge,,
Philadelphia (1875),Fitzpatrick,1874,Schooner 3 masted,12/24/1875,1875.0,12,24,,,Seabright,Stranded,"Boston, MA","Philadelphia, PA"
Philadelphia (1900),Philadelphia Pilot Assoc,1898,Pilot boat steam,1/25/1900,1900.0,1,25,,,Overfalls Lightship,"Collision w/ ""Paul Rickmer""","Philadelphia, PA",Pilot service
Philadelphia (1901),Philadelphia Pilot Assoc,1898,Pilot boat steam,8/21/1901,1901.0,8,21,,,Overfalls Lightship,"Collision w/ ""Ausgar""","Philadelphia, PA",Pilot service
Philadelphia (1904),Philadelphia Pilot Assoc,1898,Pilot boat steam,10/26/1904,1904.0,10,26,,,Delaware Capes,"Collision w/ ""Switzerland""","Philadelphia, PA",Pilot service
Philadelphia (1913),,1887,Steamship,1/24/1913,1913.0,1,24,,,"Camden, NJ",Burned,,
Philander Armstrong,Peterson & Co,1850,Schooner,8/12/1868,1868.0,8,12,39.02023,-74.79135,Hereford Inlet Shoals,Stranded,"Norfolk, VA",
Philip Gilkey,,,Schooner,8/1859,1859.0,8,,,,Barnegat,Collision,,
Philip Walters,,,Schooner,6/1825,1825.0,6,,,,Cape May,Driven ashore; stranded,,
Phillip J Kenny,,1884,Light schooner,1/19/1923,1923.0,1,19,40.48333,-73.78333,Ambrose Lightship,Burned,,
Phoebe Ann,,1835,Schooner,5/1/1891,1891.0,5,1,,,Little Egg LSS S .5 m,Grounded,"Little Egg Harbor, NJ","Rockaway, NY"
Phoenix (1766),,,Schooner,3/9/1766,1766.0,3,9,,,Pecks Beach,Stranded in gale,"Boston, MA","Philadelphia, PA"
Phoenix (1866),,1850,Steamship,3/25/1866,1866.0,3,25,,,Cape May,,"Norfolk, VA","New York, NY"
Phoenix (1871),,,Tug steam,1/28/1871,1871.0,1,28,,,Sandy Hook,Boiler exploded,,"New York, NY"
Phoenix (1926),,1898,Schooner - Barge,2/3/1926,1926.0,2,3,,,Sandy Hook,Stranded,"Norfolk, VA","New York, NY"
Phoenix (1953),National Bulk Carriers,1944,Tanker,6/6/1953,1953.0,6,6,39.53818,-75.53738,"Delaware River, Reedy Point","Collision w/ ""Pan Massachusetts""","Marcus Hook, PA","Houston, TX"
Phoenix (1981),Tom Louzon,,Lobster boat,12/21/1981,1981.0,12,21,,,Hudson Canyon,Missing; presumed lost,"Belmar, NJ",Fishing in Hudson Canyon
Pile Driver #6,,,Pile Driver,7/16/1947,1947.0,7,16,39.02722,-74.67944,Hereford Inlet E 5.4 mi,,,
Pilgrim (1846),,,Schooner,12/20/1846,1846.0,12,20,,,Egg Harbor,Grounded,,
Pilgrim (1937),,1891,Steamship,3/27/1937,1937.0,3,27,,,Bayonne,Burned,,
Pilot (1844),,,Sloop,12/25/1844,1844.0,12,25,,,Cold Spring Bar,Stranded,,
Pilot (1857),,1854,Sidewheel steam,2/1857,1857.0,2,,,,Sandy Hook,,,
Pilot (1917),,,Pilot boat,12/16/1917,1917.0,12,16,,,New York Harbor,"Collision w/ ""Berkshire""",,
Pinta,Dammers & V D Heide,1959,Freighter,5/7/1963,1963.0,5,7,40.20833,-73.84000,Asbury Park E 5 mi,"Collision w/ ""City of Perth""","Puerto Limon, Nicaragua","Port Newark, NJ"
Pioneer (1846),,,Schooner steam,2/15/1846,1846.0,2,15,40.00044,-74.05395,Squan Beach,Stranded in gale,"Brandywine, DE","New Haven, CT"
Pioneer (1848),,,Sloop,2/1848,1848.0,2,,,,"Cranberry Inlet, NJ",Stranded,"Egg Harbor, NJ",
Pioneer (1885),,,Sloop,9/2/1885,1885.0,9,2,,,Cape May Point,,"Chester, PA",
Pioneer Myth,United States Line,1954,Freighter,7/2/1966,1966.0,7,2,,,Atlantic City E 20 mi,"Collision w/ ""Visevica""","Charleston, SC","New York, NY"
Piscatagua (1870),,,Schooner,1/28/1870,1870.0,1,28,,,Sandy Hook,,"Baltimore, MD","Boston, MA"
Piscatague (1879),John E Wohson & Co.,1866,Schooner,3/31/1879,1879.0,3,31,,,Barnegat,,,
Pitt Packet,,,,1763,1763.0,,,,,Delaware Bay,Foundered,"Belfast, Ireland","Philadelphia, PA"
Pittsburg (1903),,,Sloop,8/3/1903,1903.0,8,3,,,Hereford Inlet LSS S .5 mi,,,
Pittsburg (1907),,1901,Sloop,3/19/1907,1907.0,3,19,,,Atlantic City LSS NE .25 mi,,,
Pittsburg (1912),,1901,Motor vessel gas,5/24/1912,1912.0,5,24,,,Ocean City LSS NE .75 mi,,"James River, VA","Lakes Bay, NJ"
Pittsburg (1923),,1901,Motor vessel gas,4/1/1923,1923.0,4,1,,,Atlantic City,Stranded,,Fishing service
Planter,,,Ship,8/7/1765,1765.0,8,7,,,Atlantic City,Stranded; lost rudder,"Tortola, BVI","Philadelphia, PA"
Pleiades,,1883,Schooner,5/14/1904,1904.0,5,14,,,Absecon,Collision,,
Pliny,"Liverpool, Brazil, River Platt SS Co",1878,Steamship,5/13/1882,1882.0,5,13,40.23611,-73.99166,Deal Beach,Stranded,"Rio de Janiero, Brazil","New York, NY"
Plover,,1913,Motor vessel gas,10/26/1920,1920.0,10,26,,,"Elizabethport, NJ",Burned,,
Plow City,Hodges SS Co,,Freighter,5/21/1942,1942.0,5,21,39.13333,-69.95000,Cape May E 200 mi,Torpedoed by U-588,"Trinidad, BWI","New York, NY"
Plymouth (1893),,1870,Barge,4/20/1893,1893.0,4,20,,,Barnegat,Foundered,"Newport News, VA","New York, NY"
Plymouth (1924),,1916,Barge,3/31/1924,1924.0,3,31,40.27500,-73.93333,"Long Branch, NJ",Foundered; broke from tow,"Norfolk, VA","New London, CT"
Pocohontas,,,Schooner,12/28/1839,1839.0,12,28,,,Delaware Bay Stone pile,Grounded,,
Pocomo,Nantucket Fisheries,,Smack fishing,5/15/1935,1935.0,5,15,,,Barnegat Inlet,Grounded,,
Pocono,Diamond P Trans Co.,1905,Schooner,9/15/1930,1930.0,9,15,40.39164,-73.94075,"Atlantic Highlands, NJ",Struck submerged object,"Maurice River, NJ","Bridgeport, CT"
Pocopson,Reading Rail Co,1906,Schooner - Barge,10/15/1936,1936.0,10,15,40.20110,-73.90385,Shark River Inlet NE 1.5 mi,Foundered,"Philadelphia, PA","Hallowell, ME"
Poet,Hawaiian Eugenia Corp,1944,C-4 Troop Carrier,10/24/1980,1980.0,10,24,,,Cape Henlopen E,Disappeared,"Philadelphia, PA","Port Said, Egypt"
Pogo,,,Boston Whaler,~1974,1974.0,,,,,Barnegat Inlet,Capsized in heavy seas,,
Polarus Oil,Polarus SS Co,1943,Tanker steam,7/11/1951,1951.0,7,11,,,Barnegat Lightship S 10 mi,"Collision w/ ""Sandefjord""","New York, NY",Gulf of Mexico
Polly (1765),,,Schooner,~1/1765,1765.0,1,,,,Cohansey Creek S,Caught in ice,North Carolina,"Philadelphia, PA"
Polly (1774),,,Schooner,1/15/1774,1774.0,1,15,,,Bermuda,Grounded,,
Polly (1779),,,Scow,3/21/1779,1779.0,3,21,,,Brigantine Beach,Stranded,"Alexandria, VA","New York, NY"
Polly (1822),,,Schooner,6/1822,1822.0,6,,,,Cape May Joe Flogger Shoal,Stranded,,
Polly Irelan,,,,4/30/1839,1839.0,4,30,,,,Capsized in squall,"Great Egg Harbor, NJ","Richmond, VA"
Polly Whimple,,,,~1860,1860.0,,,,,Atlantic City,Stranded,,
Pomona (1789),,,Ship,10/30/1789,1789.0,10,30,,,Delaware Bay,,"Quebec, CA","Philadelphia, PA"
Pomona (1885),J E Kerr et al,1878,Steamship,12/6/1885,1885.0,12,6,,,Barnegat SE 8 mi,"Collision w/ ""Jose E More""","New York, NY",Montego Bay
Pontiac,,1888,Motor vessel gas,6/24/1921,1921.0,6,24,,,"Jersey City, NJ","Collision w/ ""NY Central #18""",,
Porgie,,,Sloop,9/8/1769,1769.0,9,8,,,Barnegat Beach,Stranded,"Edenton, NC","New York, NY"
Port Philip,Commonwealth & Dominican,1912,Steamship,10/16/1918,1918.0,10,16,,,Ambrose Channel Sandy Hook,"Collision w/ ""USS Proteus""",,
Portland Packet,,1885,,7/16/1900,1900.0,7,16,,,,Foundered,"New York, NY",
Poseidon,Koninkl Nederland Stoomb Maats,1914,Freighter,7/31/1918,1918.0,7,31,,,Five Fathom Bank Lightship NNE 5 mi,"Collision w/ ""Sommerset""","Boston, MA","Norfolk, VA"
Posie,Bedell et al,1868,Brig,10/29/1870,1870.0,10,29,,,Barnegat,Damaged in gale,"St Pierre, Martineque","New York, NY"
Potomac,,,Brig,~1838,1838.0,,,39.23333,-70.83333,,Abandoned,,
Potosi,,1855,Schooner,4/8/1889,1889.0,4,8,,,Cape May LSS N 6 mi,,,Fishing trip
Pottsville (1883),Phil & Reading Rail Co,1874,Steamship,1/9/1883,1883.0,1,9,,,Chadwick LSS S 1 mi,Stranded,"Boston, MA","Philadelphia, PA"
Pottsville (1885),Phil & Reading Rail Co,1874,Steamship,5/17/1885,1885.0,5,17,,,Little Egg Harbor NNW 12 mi,"Collision w/ ""Edith B Everman""","Philadelphia, PA","Portsmouth, NH"
Powhatan (1854),William Graham,1837,Packet ship,4/16/1854,1854.0,4,16,39.65967,-74.16305,"Surf City, NJ",Stranded in blinding snowstorm,"Havre, France","New York, NY"
Powhatan (1961),James Sands Darling Jr,1931,Motor vessel,4/10/1961,1961.0,4,10,,,Cape May E 35 mi,"Collision w/ ""South African Pioneer""","Charleston, SC","New York, NY"
Prescott,William B McConnell,1944,Minesweeper,2/12/1963,1963.0,2,12,,,Barnegat Inlet S 100 yards,Stranded,"Staten Island, NY","Atlantic City, NJ"
President (1815),U S Navy,1800,Frigate,1/14/1815,1815.0,1,14,,,Sandy Hook,Captured,,
President (1831),,1818,Packet ship,12/5/1831,1831.0,12,5,,,Sandy Hook,Grounded in storm,"Charleston, SC",
President (1843),,,Schooner,3/23/1843,1843.0,3,23,,,Great Egg Harbor Inlet,Stranded,"Alexandria, VA",Penfield
Prince Frederick,,,Bark,12/2/1892,1892.0,12,2,,,Sandy Hook,Stranded,"New York, NY","Antwerp, Belgium"
Princess,,,Schooner,3/1/1928,1928.0,3,1,,,"Off Barnegat, NJ",Foundered,,
Princess Alexandra,,,Bark,5/15/1872,1872.0,5,15,,,Highlands E 40 mi,"Collision w/ ""Bowdoin""","New York, NY","St Croix, USVI"
Princess Louisa,T Staller,1848,Brig,~ 1/1857,1857.0,1,,,,"Off Barnegat, NJ",Dismasted; Stranded,,
Princeton (1859),Hink & Pones,1854,Brig,3/9/1859,1859.0,3,9,,,Squan Inlet S 7.5 mi,Stranded,"Kingston, Jamaica","New York, NY"
Princeton (1923),,1901,Steamship,10/24/1923,1923.0,10,24,,,"Camden, NJ",Burned,,
Priscilla,,1893,Motor vessel,7/16/1923,1923.0,7,16,,,Harvey Cedars,Stranded; Sruck some object,Harvey Cedars,"Atlantic City, NJ"
Progress,,1896,Scow,5/1/1912,1912.0,5,1,,,"Ship John Shoal, Delaware Riv",Foundered,,
Prospect,,,Sloop,11/1839,1839.0,11,,,,Two Mile Beach,Grounded; Abandoned,,
Prospera,,,Brig,12/21/1865,1865.0,12,21,,,Sandy Hook,Foundered,,"New York, NY"
Prosperity,,,Schooner,12/25/1744,1744.0,12,25,,,Cape May,Grounded,"Philadelphia, PA","Boston, MA"
Proteus,Southern Pacific Co,1900,Passenger freighter,8/19/1918,1918.0,8,19,34.76530,-75.78350,"Diamond Shoals, NC NE 45 mi","Collision w/ ""Cushing""","New Orleans, LA","New York, NY"
Prowess,Hulse,1855,Schooner,1/31/1862,1862.0,1,31,39.11518,-74.69828,Townsends Inlet,,"New York, NY","Baltimore, MD"
Pure Oil Co. #5 (1911),,,Steamship,10/30/1911,1911.0,10,30,,,"Newark Bay, NJ",,,
Pure Oil Co. #5 (1930),,1910,Motor vessel diesel,3/7/1930,1930.0,3,7,,,"Kearny, NJ",Burned,,
Puritan (1865),,,Schooner,1/5/1865,1865.0,1,5,,,Barnegat Inlet N 3 mi,,South America,"New York, NY"
Puritan (1874),E Williams,1866,Ship,4/17/1874,1874.0,4,17,,,Sandy Hook,Stranded,Manila,"New York, NY"
Puritan (1904),,1888,Schooner - Barge,2/3/1904,1904.0,2,3,,,Cape May,Foundered,"Norfolk, VA","Fall River, MA"
Pusey,,,,1757,1757.0,,,,,Delaware River  Reedy Island,,"Jamaica, WI",
